stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1041.5,20083.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707.76,0,0,0,0,0,0,0,0,0
  5-6,937.32,11120.97,6.55,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,230.01,56.07,0,0,65.86,0,139.27,0,0,0,0,0,0,0,0,0
  7-9,111.04,242.55,259.69,0,0,543.72,0,0,0,0,165.11,0,0,0,0,0,0,0,0,0,0,0,4680.34,112.57,0,0,1312.93,0,4.35,9.95,0,0,0,0,0,0,0,0
 10-12,0,136.57,263.04,0,24.44,306.13,0,0,0,0,74.66,0,0,0,0,0,0,0,0,0,0,3.87,5080.73,64.08,0,0,1304.85,0,0,9.03,0,95.13,4.89,9.81,0,0,0,0
 14-21,0,0,5.87,36.03,22.86,32.95,0,0,9.06,0,5.51,0,0,4.19,0,0,0,0,37.7,0,0,9.37,577.02,5.46,1.13,1.47,7.39,0,4.13,0,42.81,3.8,11.2,134.02,0,1.02,0,0
 24-34,0,0,4.17,4.43,1.09,61.3,0.89,0.63,18.24,3.49,1.11,0,0,4.3,0,0,1.59,0,53.09,0,0,27.35,660.99,5.04,5.22,3.9,0,0.99,4.51,0,0.95,0.97,3.85,120.6,0,21.46,0,0
 36-46,0,0,0.96,14.28,1.02,150.29,0,0,14.47,0,0,0,0,0,0,0,2.27,0,50.82,0,1.58,12.86,420.18,1.96,6.56,0.58,0,0,10.21,0,0,0,0,85.91,0,1.03,0,0
 48-58,0,0,0,11.7,2.44,208.08,0.4,0.45,27.08,0,0,1.15,4.9,5.02,0.75,0,0,0.64,63.12,0.52,2.49,15.43,236.1,4.09,3.02,0,0,0,1.1,0,0,1.33,0,22.35,0,12.42,0,1.48
 60-70,0,0,0,7.94,0,144.54,0,2.43,39.3,3.64,0,0,6.32,0,0,3.77,1.49,0,38.79,0,4.19,12.86,112.72,0,0,0.81,0,0.66,3.73,0,0,0,0,3.02,1.39,1.39,0,4.24
 72-82,0,0,0,7.47,0.68,40.74,0,2.13,25,1.43,0,0,5.43,0,0,0.6,0.88,0,49.87,0.58,0.93,4.11,68.5,1.8,2.57,0,0,0,0,0,0,0,0,7.92,0.97,7.77,0,4.65
 84-94,0,0,0,4.32,0.84,52.45,1.42,1.12,14.07,2.12,0,0,1.51,4.03,0,0,0,0,41.03,0,1.61,4.36,79.88,0,0,0.74,0,0,0.72,0,0,0,0,6.36,0.98,5.79,1.74,0
 96-106,0,0,0,0.63,1.22,36.14,0,1.57,11.46,1.68,0,1.52,1.27,0,0,1.55,0,0,32.75,0,0.59,5.32,68.07,0,5.26,1.77,0,0,1.7,0,0,0,0,2.35,0.85,7.52,1.12,0
108-118,0,0,0,5.73,1.06,26.94,0,1.66,29.47,5.87,0,0,1.08,2.26,0.42,0.81,0.43,0,29.83,0,0,4.6,85.25,0.57,0,4.39,0,0,5.14,0,0,0.87,0,0,0,0.64,0,8.05
120,0,0,0,7.04,0,36.22,0,0,47.77,6.52,0,1.54,6.07,0,0,0,0,0,51.97,0,0,9.37,72.1,0,0,0,0,0,1.09,0,0,0,0,5.71,3.52,1.15,2.27,0
