stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.95,35.68,7.37,7.92,0,0,78.89,0.99,0.81,0,0,0,0,0,1.08,21.06,0,0,5.52,199.33,8.64,5.38,20.24,4.53,0,3.59,3.05,119.13,3.28,249.09,0,0.82,0,0
 24-34,0.65,0,3.62,0.81,8.7,0,0,46.85,0,0,0,0,0,0.66,0,0.92,9.68,0,0,8.3,156.16,0.95,2.04,6.58,0,0,0.88,0,25.87,0.68,108.23,0,1.85,0,0
 36-46,0,0,11.33,0.57,12.26,3.94,0,43.39,0,0.63,0,0,0,0.61,0.66,0,17.63,0,0.55,3.28,153.23,0,6.17,11.79,0,0,3.1,0,6.56,0,106.91,0,0.65,0,0
 48-58,0,0,9.61,1.48,48.32,0,0,43.47,0,0.65,3.79,0,4.8,0,0,0,12.22,1.32,2.83,4.22,101.79,0,4.14,0.89,0,0,3.22,0,3.06,0,83.55,0,0.41,0,1.06
 60-70,0,0,2.76,0,39.9,0,2.21,33.89,4.11,0.59,0,0,0,0,0,0,13.84,0,0,3.69,63.58,0,1.44,7.52,0,0,0,0,0,0,34.79,0,0,0,0
 72-82,1.49,0.75,1.85,1.61,40.28,0,0.94,71.02,0,1.07,0,0,0.55,0,0,0,34.87,0,2.78,1.85,76.02,0,6.56,8.18,0,0,0,0,1.35,0,37.15,1.38,2.76,4.1,15.37
 84-94,1.43,0,4.76,0.67,15.51,0,0.62,38.73,1.57,0,0.76,0.68,0,4.61,0,0,25.5,0,0,0,39.9,0,1.54,2.69,0,0,0,0,2.88,0,18.8,2.13,2.84,0,13.99
 96-106,2.62,1.07,4.43,0,19.19,0,0,40.8,0,2.59,0,0.95,0.74,4.48,0,0,25.88,0,3.14,0.58,73.13,0,7.05,5.39,0,1.03,0,0,4.67,0,21.93,1.22,2.81,0,0
108-118,1.57,1.06,4.2,6.35,13.43,0.57,2.46,56.38,0,0,0,0.43,0,1.46,0,0,33.53,0,1.27,0.72,54.38,0,7.63,3.01,0,0,0.5,0,3.51,0,25.88,0,3.45,1.68,0
120,0,0,2.38,0,3.17,0,0,24.07,3.76,0,5.59,0,0,0,0,0,34.26,0,1.38,1.86,126.8,0,11.73,0,0,0,0,0,14.79,0,13.75,0,0,4.47,0
