stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,71.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0
  5-6,0,40.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.96,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,11.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.87,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0
 14-21,0,0,0,18.26,0,0,2.12,0,4.86,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,499.52,0,2.73,0.94,7.72,0,0,1.84,0,0,25.19,0,0,0,0,0
 24-34,0,0,0,23.91,1.09,0,19.41,0,33.13,0,2,0,0,11.42,0,0,0,0,2.18,0,9.37,0,0,0.79,1823.77,1,0,2.07,0,0,1.56,0,0,0,125.74,0,0,9.9,0,0
 36-46,0,0,0,3.59,0,0,20.76,0,28.18,0,51.89,0,0,17.49,1.62,0,0,0.65,0,0,67.07,0,0,0.6,3020.65,0,0,0,0,0,0,0,0,0,72.74,0,0,0,0,1.54
 48-58,0.39,0,0,9.96,0,0,200.43,0,18.38,0.39,105.87,0,0,8.97,0,0,11.88,1.67,0,11.45,274.08,0,0,16.36,6820.03,0,0.78,7.81,0,0.39,3.97,0,0,1.36,519.21,0,0.4,20.55,0,5.25
 60-70,0,0,0,6.61,0,0,156.17,0.97,5.97,5.02,32.89,0,0,0,0,0,0,0,0,1.56,361.39,0,1.4,12.6,7644.9,5.22,0,0,0,0,0.83,0,0,0,1011.93,0,0,13.71,0.73,8.07
 72-82,0,0,0,23.88,9.46,0,295.5,0.55,5.06,5.8,88.92,0,0.6,4.14,2.03,0,1.36,0,0,7.54,471.3,0,5.1,14.83,4623.76,0,0.67,1.45,0,1.12,2.46,0,0,0,760.64,3.66,0.97,60.4,6.07,12.54
 84-94,0,0,1.62,52.38,18.3,0,307.22,0,4.99,11.59,35.79,0,0,0,7.88,6.86,0,0,0,0,490.55,0,7.63,11.94,3337.98,0,3.43,8.62,0,0,8.55,0,0,0,417.95,5.49,0.87,80.42,1.85,7.36
 96-106,0,0,0,20.6,9.78,0,191.45,0,2.32,0,79.98,1.33,0,0,1.07,0,0,0,10.68,0,412.84,0,3.27,10.65,2474.91,0,1.02,3,0,0,17.62,0,0,0,168.67,0,7.25,87.58,4.28,4.64
108-118,1,0,2.23,11.73,0.66,0.45,98.28,4.32,4.15,4.37,51.8,0.48,0,0.51,0,0,2.51,0,5.18,0.51,560.94,0,0,8.48,3893.54,0,1.57,2.15,0,4.26,7.79,0,0.73,0,94.08,1.68,0,60.62,1.44,10
120,0,0,0,26.17,8.17,0,226.8,2.57,6.62,1.58,94.12,0,0,0,0,0,0,0,0,0,274.04,1.56,0,0,3809.31,0,0,17.21,0,0,1.95,0,0,0,0,0,0,52.81,0,0
