stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,16.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,0
  7-9,0,0,0,0,14.24,0,0,0,0,0,0,13.08,0,4.13,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,35.65,0,4.98,0,9.34,0,0
 14-21,0,0,0,0,1.74,0,0,0,0.82,0,0.99,7.3,0,0,0,0,0,0
 24-34,0,0,1.9,0,0,0,0,0,1.87,0,0,10.28,0,0,1.18,0,0,0
 36-46,0,1.4,0,0,0,0,0,0,0.62,0,1.13,7.85,0,0,0,0,0.76,0
 48-58,0,0,0,0,3.88,0,0.51,0,0,0.44,0,7.08,0,0,2.99,0,0,0
 60-70,0,0,0,0,5.87,0,0,0,0,0,0,6.02,0,0,0,0,6.14,0
 72-82,0,0,0,0,2.97,0,0,0,2.22,0,0,1.84,0,0,0,0,0,0
 84-94,0,0,0,0.67,3.48,0.64,0,0,1.18,0,0,0,0,0,0.57,0,0,0.88
 96-106,0,0,0,0,5.44,0,0.62,0,1.12,0,0,1.34,0,0,0,0,0,0
108-118,0,0,0.49,0,0,0,0,0.64,2.32,0,0,3.44,0.6,0,0,0,0,0
120,0,0,1.08,0,0,0,0,0,0,0,6.84,0,0,0,0,0,0,0
