stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,0,13.11,0,0,0,0,0,0,0,0,2,0,0,0,1.94,0,2.25,13.47,0,1.26,16.41,4.05,1.37,2.6,0.81,6.38,0,0,0
 24-34,0,0.64,0,0,3.85,0,0,0,2.57,0.87,0,0,0,0,8.16,0,2.7,25.22,0,0,114.49,0,3.35,0,0,2.24,0,0,0
 36-46,0,0,0,0,3.85,0,4.42,0,0,0,0,0,0,0,0,0,0.55,34.5,0,0,77.43,0,1.03,0,0,2.66,0,0,0
 48-58,0,0,0,0,10.43,0.84,0,0,3.08,1.53,0,0,0,0,2.49,0,0,27.46,0,0,17.77,0,0,0,0,5.55,0,0,0
 60-70,0,0,0,0,43.35,0,0,0,6.18,0,0,0,0,0,5.56,0,0,60.88,0,0,7.16,0,0,0,0,8.8,0,0,0
 72-82,0,1.45,3.9,0,155.4,0,1,0,10.82,2.12,0,0.9,0,0,12.89,0,0,80.29,0,0,6.15,0,0,0,0,0,0,2.17,1.14
 84-94,0.66,0,1.35,0,177.57,0,1.59,0,2.38,0,0,0.9,0,0,7.72,0,0,49.9,0,0,9.93,0,0,0,0,0,0,2.92,0
 96-106,0,1.05,0,0.66,409.38,0,0,0,10.15,0,0.98,2.23,0,0,14.78,0,0,31.46,0,0,3.59,0,0,0,0,0,0.99,0,0
108-118,0,3.03,7.48,0,532.52,0,0.55,1.3,6.06,2.15,0,0,11.96,5.05,21.82,1.19,0,38.49,0,0,0.94,0,0.53,0,0,1.9,0,1.11,0
120,0,8.07,2.46,0,211.82,0,0,7.2,30.72,1.81,2.5,0,10.37,0,9.96,0,0,42.13,1.46,0,1.2,0,0,0,0,0,0,0,0
