stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,14.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,63.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,10.79,0,0,0,0,0,5.02,0,0,0,0,0,0,0,0,0,0,100.94,6.39,0,0,21.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.74,0,0,0,15.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.84,10.33,0,0,24.21,0,0,0,21.79,0,0,0,0,0,0,0
 14-21,0,0,0,1.85,1.07,0.83,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,3.63,4.69,0,2.71,102.12,0,2.75,0,0,0,0,2.9,0,2.82,60,0,0,0,0,2.62
 24-34,0,0,0.84,0,5.6,0,0,9.24,0,0,0,2.12,0,0,0,0,0,0,0,0,16.87,9.22,0,2.06,1151.62,0,5.64,2.4,0,0,0,0.93,0.94,0.81,178.45,0,0,2.44,0,14.55
 36-46,0,0,0,0,0.94,0,0,100.71,0,0,0,23.09,0.61,0,0,0,0,0,0,0,27.92,22.55,0,0.8,3807.83,0,9.58,0,0,0,4.68,0,4.4,0,486.19,0,0,7.7,0,20.5
 48-58,0,0,0.54,0,15.96,3.08,0,356.42,0,4.08,2.73,59.23,0.46,0,0,0.68,2.86,2.97,0.4,0,28.27,43.1,0.6,5.78,5062.73,7.94,3.86,3.21,0,0,7.19,0,0,0,544.88,0,0,2.67,0,18.79
 60-70,0,0,0.91,0,3.04,0,0,677.11,0,0.82,3.46,45.48,0,0,0,0,0,0,1.16,0,0.73,93.91,8.72,4.37,6763.11,3.58,1.57,3.11,0,4.96,7.83,0,0,0,582.5,0,2.68,3.88,3.17,20.07
 72-82,0,0,2.69,0,14.9,19.94,0,537.74,7.1,1.15,6.8,67.26,0,0,2.21,2.57,0,1.13,0.83,9.62,13.44,123.19,0.93,2.13,4949.35,0,4.51,7.74,0,0,1.7,0,1.71,0,323.2,0,3.64,0.71,3.54,29.74
 84-94,0,0,1.01,0,8.51,1.73,0,481.7,0.68,0.55,7.87,48.64,2.51,0,0,1.14,2.02,1.27,1.32,0,45.55,114.68,6.82,2.71,3245.44,0.63,4.87,18.28,0,0.57,19.03,0,1.31,0,252.89,0,7.09,1.74,7.22,12.61
 96-106,0,0,0.99,0,21.98,15.1,0,261.11,0,0,0,46.8,1.38,0,2.89,0,0.67,3.77,0,9.42,5.04,94.03,2.5,1.56,2478.32,1.33,4.52,5.15,0,3.17,0,0,0,0,104.8,1.13,7.55,2.35,4.5,6.49
108-118,0,0,1.55,0.59,35.94,6.13,0,231.74,0,1.12,2.45,27.53,0.95,0,0.71,2.08,0.72,4.98,1.26,0,15.85,61.71,10.4,0.55,2740.45,0.8,6.42,5.8,0,4.74,0,0,0,0,75.73,0,0,0.91,4.36,5.23
120,0,0,0,0,22.6,22.47,3.69,258.06,0,2.37,0,93.62,0,0,0,0,0,0,4.13,0,4.02,77.04,0,3.99,2951.86,1.17,1.48,12.42,0,0,2.6,0,2.43,0,73.91,0,0,0,11.01,7.36
