stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,188.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.75,0,0,0,0,0,0,0
  5-6,7.04,197.28,0,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788.97,0,0,0,0,0,0,0
  7-9,0,19.63,0,0,0,0,0,0,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0,0,0,0,123.93,10.01,0,0,14.22,207.24,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,17.97,0,0,9.8,102.97,9.52,0,0,0,0,0,0
 14-21,0,0,0,0.98,22.57,0.8,0,2.41,0,0,0,1.15,0,0,0,0,204.86,0,1.49,2.66,0,0.84,18.49,0,0,7.5,0,1.08,7.24,0,378.17,0,0.81,1.12,0,1.09,0,0
 24-34,0,0,0,0.75,110.22,0,0,29.06,0,2.48,0,1.65,1.72,2.28,0,0,981.04,0,82.72,0,0,3.85,215.2,0,0,75.61,0.67,159.52,34.71,0,341.11,0.86,0.66,11.14,0,1.04,0,0
 36-46,0,0,0,0,134.21,0,0,10.06,0,1.62,3.07,0,0.65,0,0,0,879.95,0,72.49,0,0,4.03,172.05,0,0.96,20.73,0.63,158.2,41.18,0,194.39,3.4,0,1.67,0,1.61,0,0
 48-58,0,0,0,0.43,194.26,0,0,18.72,1.02,6.04,0,2.64,0.81,1.82,0,3.93,637.04,2.58,195.87,0,0,10.54,235.39,0,0,38.19,0,125.45,95.24,0,53.5,0,0,6.46,0,0,0,1.73
 60-70,0,0,0,0,182.92,4.47,0,20,0.86,10.53,0,4.22,8.12,0,0,0.81,844.53,0,417.48,0,0,28.89,138.48,0,0,47.92,7.86,106.78,49.78,0,22.08,0,0,5.81,26.4,0,0,0
 72-82,0,0,0.71,0,117.66,0.83,0,56.32,2.62,3.28,0,3.68,34.62,0.74,0,5.68,1482.28,0,733.49,0,3.71,13.38,111.09,7.6,1.43,66.81,0,98.16,19.75,0,12.37,0,0,7.34,28.41,1.91,1.47,0
 84-94,0,0,2.11,1.01,213.46,7.09,0,35.48,0,0.74,5.77,5.97,65.87,0,5.34,2.58,2136.69,0,1075.23,3.8,0,27.66,118.38,0,2.37,40.05,0,347.1,6.39,0,15.31,3.37,0,0,95.75,11.16,1.1,0
 96-106,0,0,4.98,0,355.92,14.91,9.26,54.01,0,1.32,0,4.35,94.35,0,0,8.36,3309.83,0.66,1256.82,9.53,0,34.47,107.39,0,0,105.68,1.34,298.12,13.23,0,19.8,0.7,0,4.75,148.68,0,4.48,6.72
108-118,0,0,0,0,391.03,0.72,0.95,43.18,0.44,0.48,0,7.38,31.89,0,0,4.23,3124.21,0.79,1238.12,1.5,0,26.32,100.75,0,0.99,96.25,0,236.57,19.91,0,10.29,1.03,0,8.49,122.27,0.65,0.48,4.31
120,0,0,0,0,459.22,4.56,0,9.63,0,1.49,0,10.67,64.33,0,0,15.73,3089.53,1.91,965.3,6.93,0,5.36,70.17,0,10.14,153.13,0,113.28,13.08,0,14.96,0,0,17.93,75.7,2.19,0,0
