stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,7207.47,109126.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2411,0,0,0,0,0,0
  5-6,11778.36,125161.72,68.39,0,0,0,0,0,0,216.8,0,0,0,0,1486.63,299.67,0,468.85,1468.96,0,0,0,0,0,0
  7-9,472.74,871.44,981.55,0,5.98,2749.82,0,0,0,206.27,0,0,0,0,27305.51,873.72,0,5850.84,29.83,216.56,0,0,0,0,0
 10-12,0,96.91,173.66,0,0,363.08,0,0,0,12.12,0,0,0,0,2953.89,95.26,0,1045.13,3.81,40.61,13.22,20.57,0,32.72,0
 14-21,0,0,6.08,21.81,7.32,9.39,0,3.2,1.99,0,0,0,8.85,6.66,141.36,16.52,1.64,6.02,0,6.88,43.08,3.43,36.07,55.27,41.62
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.45,1.39,8.55,1.24,0.85,0,0,0,0,0.7,3.8,0.79,1.07
 36-46,0,0,0,0,0,6.95,0.76,0,0,0,0.63,0,2.75,0,1.77,0,0,0,0,0,0,0.65,0,0,0
 48-58,0,0,0,0,0,1.38,0,0,0,0,0,0,0.51,0,1.23,0,0,0,0,0,0,0,0,0,0.72
 60-70,0,0,0,1.17,0.66,0.85,0,1.29,0,0,0,1.91,0,0,0.92,0,7.87,0,0,0,0,0,0,0,1.67
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.6,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,1.94,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0
