stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,3.44,0,0,3.68,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,6.75,0,1.89,0,5.92,1.39,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,7.66,0,1.32,1.32,0,0,3.03,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,11.42,0,0.95,0,0,0,2.76,0,0,0,0
 48-58,0,0,0,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,18.83,0,1.11,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.71,0,0,1.25,0.86,0,1.04,0,2.65,0,0,0,0,5.05,0,0,0,0,0,0,0,0,0,17.03
 72-82,0,5.62,9.17,0,0.87,3.34,0,0,8.81,7.12,1.74,1.66,12.89,0,3.61,1.74,0.7,19.96,0,2.93,0,0,0,0,0,0,6.26,0
 84-94,0,2.09,0,0,0,0,0,1.2,14.01,2.67,1.57,0,5.12,2.07,6.99,0,0,23.58,0,1.23,0,0,0,0,0,0,3.39,0
 96-106,0,6.99,4.94,0.96,19.54,0,0,3.79,10.8,21.88,7.62,3.99,15.44,0.87,5.87,13.33,0,22.04,0,15.83,0,0,0,0,1.14,0,10.46,4.26
108-118,0,1.04,0.69,0,4.16,0,0,3.13,6.5,35.02,11.25,3.81,9.38,1.61,8,8.22,0,41.15,0,17.63,1.38,0,0,0,0,0.59,6.73,5.76
120,0,0,0,0,21.62,0,3.94,0,17.22,83.75,14.67,0,0,0,0,55.31,5.02,56.72,0,75.26,1.65,0,0,0,0,0,20.69,0
