stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,85.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0
  5-6,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,8.18,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.74,0,0,0,0,6.32,0,0,0,0,0,0,0,0,3.74,0,0,8.46,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,40.67,0,0,6.21,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,3.19,0,0,0,0.87,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.22,0,0,0,0,0,0,0,1.08,0,0,0.74,0,6.41,5.52,0,0.65,0,2.45,0,0,2.96,0,0,1.6,0
 36-46,0,0,0,0.56,0,1.04,1.42,0,0,0,0,0,0,0,0,0,0.56,0,0.89,5.76,0,1.08,0,3.59,0,0,3.03,0,0,0,0
 48-58,0,0,0,0,0,1.87,0,0.64,3.14,0,0,0.37,0,0,0,0,1.77,0,0,6.65,0,2.3,0,0,0,0.4,2.33,0,0,1.69,0
 60-70,0,0,0,0,0,17.3,0,0,22.59,0.72,0,0,0,0,0,0,1.72,0.84,0,5.37,0,1.79,0,0.83,0.62,0,0,0,1.22,0,0
 72-82,0,0,0,1.17,0.51,21.89,0,0,28.6,5.84,0,4.03,0,0,0,0,11.62,0,0,20.85,0,0.52,0,1.56,0,0,0.88,1.36,0,0,0
 84-94,0,2.24,0,3.59,0,8.54,0,1.26,47.44,10.54,0,0.67,0,0,0,0,7.57,0,0,13.9,1.52,0.62,0,3.34,0,0,0,0,0,1.54,3.53
 96-106,0,0,1.03,0.61,0,6.3,0,0,16.91,0.64,0,11.48,2.06,0,0,0,8.09,0,0,15.7,0,0,0,0.7,0,0,0,0,2.45,1.38,0
108-118,0,0,0,0.42,4.03,4.1,0,0.44,28.8,1.52,0,23.98,7.03,0,0,0,2.18,0,0,9.05,1.03,0,0,3.09,0.41,0,0,0,0,0,0
120,0,0,0,1.16,0,15.93,0,0,23.28,0,0,23.62,3.56,0,0,1.6,5.54,0,0,18.99,0,0,0,1.17,0,0,0,0,0,0,0
