stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,15.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0,0.84,0,0,0
 24-34,0,0,0.66,3.09,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,3.16,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,6.77,0,0,0,0,2.34,0,0,9.46,0,0.62,0,0,0,68.31,0,0,0
 48-58,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,13.71,0,0,28.85,0,5.74,0,0,0,15.07,0,0,0
 60-70,0,0,0,2.12,0,0,0,0.64,0,0,0,0,0,0.74,0,15.09,0,0,20.12,0,8.71,0.68,0,0,68.95,0,0,0
 72-82,0,0,3.37,6.93,0,3.33,5.53,29.21,2.06,0,0,0,0,0.76,0,65.81,0,0,48.04,0,17.65,0,0,0,20.37,5.02,16.25,0
 84-94,0,0,9.88,6.75,0,6.53,0,13.13,0,0,0,0,0,0,0,55.76,0.59,0,31.49,0,16.24,0,1.9,0,2.42,0.64,1.89,0.64
 96-106,0,0,10.24,13.12,5.83,7.77,0,8.35,2.79,1.45,0,0.93,0,13.04,1.11,38.19,1.29,21.19,37.89,0,50.29,0,0,0,0,6.42,21.12,0
108-118,0,0,5.51,20.1,1.55,24.1,1.88,33.95,0,0,0,0,0,2.16,0,94.48,0,3.76,54.92,0,33.63,0,0,0,0.61,6.69,12.38,2.62
120,1.12,0,16.16,13.07,0,0,0,14.27,2.17,0,0,0,2.21,2.96,0,37.03,0,0,79.49,0,23.94,1.34,3.82,2.12,0,1.69,0,0
