stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,11.6,976.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.41,541.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.19,0,3.28,0,0,0,0,8.79,0,0,0,0,0,115.03,3.69,31.81,0,0,12.83,0,0
 10-12,0,4.38,0,0,0,0,0,0,0,0,0,0,0,17.13,0,27.03,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0.88,0,0.86,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53,0,0,1.19,0,0,1.16,0
 36-46,0,0,0,0,0,1.26,0,0,0,0,1.74,0,0,1.49,0,0,7.17,0,0,3.47,0
 48-58,0,0,0,0,0,1.5,0.92,0,2.33,0,0,0.51,0,0.75,0,0,0,0,0,0,3.35
 60-70,0,0,0,0.87,0,1.56,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0
 72-82,0,0,0,0,9.33,0.82,0,0,0,1.23,0,0,0,1.67,0,0,0.71,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0
 96-106,0,0,0,0.59,0,0.8,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
120,0,0,0,0,0,2.49,0,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0
