stage,axial,blastomeres,endoderm,epidermis,eye,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,45.13,1952.73,0,0,0,0,0,0,0,87.6,0,0
  5-6,67.24,866.39,0,0,0,0,37.53,22.69,19.59,19.46,0,0
  7-9,10.58,8.27,8.65,0,10.16,0,121.33,0,52.75,0,0,0
 10-12,0,0,0,0,5.13,0,42,0,6.32,0,0,0
 14-21,0,0,0,0.94,0,0,0,0,0,0,0.9,0
 24-34,0,0,0,0,0,0.62,14.87,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.91,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.05,0,0,0,0,0
 60-70,0,0,0,0,0,9.84,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,4.36,0,0,0,0,3.77
 96-106,0,0,0,0,0,0,1.06,0,0,0,0,0
108-118,0,0,0,0,0,1.83,0,0,0,0,0,0
