stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.71,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,0,0,0,0,0,0
 14-21,0,0,0.81,3.04,0,0.88,0,0,0,0,0,0,0,0,14.32,14.05,0,0,0,0,0,1.06,8.85,0,0
 24-34,0,0,0,0.86,0,1.57,0,0,1.01,0,0,0,0,0,1.35,12.33,0,0,0,0,0,0,1.4,0,0.72
 36-46,0,0,0,0,0,4.39,0,1.94,0,0,0,0.58,3.68,0,0,17.96,0.71,0,0,0,0,0,2.42,1.49,0
 48-58,0,0,0,0,0,6.81,0.58,1.36,0,0,0,0,1.2,0,0,16.31,0,0,0,0,0,0,2.49,0,0
 60-70,0,0,0,2.19,0,3.99,1.44,1.24,3.23,0,0,0,0,0,0,14.3,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.68,0,9.58,0,3.34,1.1,0,0,0,5.58,1.98,0.5,15.08,0,0,0,0.73,0,0,2.16,0.82,0
 84-94,0,0,0,0.56,0,7.2,0,0.84,0,0,0,0,0.74,0,0,1.87,0,1.76,0,1.72,0,0,0,0,0
 96-106,0,0,0,0,9.75,0.61,0,0,0,0,0,0.98,0,0.93,0.93,10.38,0,0,0,1.72,0,0,0,0,0
108-118,0,0,0,0,0,4.91,0,5.69,0.62,0.94,1.36,0,2.02,0,0.52,8.16,0,0,0,0,0.43,0,0,0,5.13
120,0,0,0,1.78,0,2.36,0,0,4.85,1.01,0,0,0,0,2.4,2.73,0,0,0,0,0,0,0,0,0
