stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,neural,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.6,0,0,0,0,3.04,0,0,0,0,1.32,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.43,0,0,0,0,1.77,0,0,0.7,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,5.51,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.7,0,0,7.18,0,0,4.43,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,7.32,0,3.6,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,6.78,0,0,0,0,21.64,0,3.05,0,0,0,0,0,0,0,0,0
 96-106,0,0,6.23,0,0,0,1.54,0.92,19.31,2.91,12.5,1.34,1.05,15.38,0,2.6,0,0,0,0.86
108-118,0,0,0,0,0.88,0.58,0,0,20.27,0.67,29.76,2.22,0,8.65,5.3,5.02,0.42,0,2.32,0
120,0,0,0,0,0,2.47,0,0,15.13,0,2.73,0,0,0,0,1.08,1.22,10.67,0,0
