stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.91,0.82,0,0,0,0,0,0,0,0,2.44,0,1.73,28.23,0,0.89,0,1,1.85,14.06,0,0,0
 24-34,0.59,2.12,0,0,0,0,6.02,0,0,0,0.64,2.4,0,0,30.51,0,0,0,0,0,1.9,2.78,0,0
 36-46,0,2,0,5.08,0,0,0,0,0,0,0,0.59,0,1.03,26.31,0,0,0.95,0,0,2.42,0,0,0
 48-58,0,0,0,4.3,0.67,0.4,0.53,0.64,0,0,0,3.36,0,0.79,20.04,0,0,0.52,0,0,2.7,0,0,0
 60-70,0,0,0,40.38,0,0,3.13,0,0,1.42,0.66,1.12,0,0,60.22,0,0,0,0,0,10,0,0,0
 72-82,0.75,0,0,14.34,0,0,2,0,0,0,0,4.74,0,1.06,34.15,0,0,2.94,0,0,1.16,1.1,0,0
 84-94,0,0,0,8.12,0,0,0,0,0.85,0,0,8.79,0,0,16.67,0,0,2.2,0,0,0,0,0,1.89
 96-106,0,0,0,7.41,0,0,0.6,0,0,0,0,0.63,0.59,0,7.18,1.63,0,6.44,0,0,0,0,0,0
108-118,0,0,0,9.98,0,0,0,0,0,0,0,7.02,0,0,9.12,0,0,0,0,0,0,0,1.54,5.69
120,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,48.89,0,0,0,0,0,10.2,0,0,0
