stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.04,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59,0,0,0,0,10.99,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.51,1.95,0,0.81,0,0,0,1.09,0,0,0,0,0,0,0,0,1.13,2.69,4.12,0,8.93,29.56,0,0,0.89,0,2500.24,2.54,0,1.87,1.07,14.95,0,0,0,0,0
 24-34,0,0,21.89,3.36,0,26.9,0,7.37,1.06,4.73,1.37,0.64,2.14,0,10.36,0.7,0.98,1.51,0,32.26,43.18,0,21.06,362.21,7.75,7,1.38,0,9033.2,0,0.83,2.98,3.12,50.16,0,0,6.51,0,0
 36-46,0,0,8.62,0,0,37.69,2.57,56.92,1.17,7.17,0,0,2.4,4.71,11.69,0,0.77,1.29,2.27,20.29,78.27,0,7.32,285.31,2.97,6.48,0.61,0,12321.85,0,9.1,0,0,49.51,0,0,4.75,0,0
 48-58,0,0,43.47,2.03,0,111.89,1,78.44,0.94,20.23,5.08,1.19,0,1.69,9.42,1.31,0,1.44,5.43,36.89,67.63,0,8.79,384.39,3.3,7.72,0.81,0,8728.5,0,0,0,0,83.22,0,0,5.86,0,25.9
 60-70,0,0,35.5,0.97,0,137.13,0,38.55,0,15.43,5.53,0,0,0,11.99,0,0,0,0,37.37,20.78,1.82,4.05,305.4,0,7.03,0,0,5365.3,0,0,0,0,27.75,0,0,0,0,19.61
 72-82,0,0,88.01,9.68,0,81.13,0,34.69,0.64,14.12,8.14,0,0,0.53,17.27,0,0,0,1.81,19.84,15.15,0,5.41,200.23,0,6.52,0,0,2500.75,0,0,0,0,19.98,7.24,0.52,1.1,4.01,3.1
 84-94,0,0,184.01,7.06,0,59.78,0,99.64,1.42,6.83,14.85,0,0,0.57,38.43,0.62,0.73,0,0,20.84,24.29,0,3.83,151.5,0,26.38,0.66,0,5982.48,0,2.32,0,0,15.73,21.73,0,6.71,0,0
 96-106,0,0,430.91,4.01,0,104.19,0,52.44,1.65,20.68,19.47,0,0,9.25,54.24,0.61,1.33,17.23,0,21.99,26.65,0,1.1,126.96,0,11.34,2.28,1.32,4224.01,0,1.24,6.18,0,1.16,44.76,0,8.04,0,9.61
108-118,0,0,474.28,2.97,0.99,47.28,0.76,145.95,8.83,13.32,34.07,2.74,2.36,12.53,79.69,0.91,2.01,11.88,8.26,28.76,64.21,0,0.73,149.7,0,9.28,0,0,5634.86,0,3.66,0.43,0,0,62.13,0,1.73,1.42,7.92
120,0,2.94,814.37,0,0,48.28,5.69,70.15,0,1.76,20.66,0,0,17.5,36.69,0,0,4.81,0,32.53,28.26,0,1.86,191.7,0,18.82,3.63,0,3184.71,0,0,0,0,32.99,35.94,3.8,11.32,0,0
