stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,180.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.33,151.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.79,0,0,0,24.74,0,0,0,0,0,0,0,0,0,0,0,0,47.81,0,0,0,4.58,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,7.04,0,0,8.79,0,0,0,0,0,0
 14-21,0,0,0,0,3.21,0,0,0,27.79,0,0,0,0,0,0,1.17,0,0,7.84,0,1.58,0,0,0,0,13.13,100.81,0,0
 24-34,0,0,2.51,0,0,0,0,0,38,0,0,0,0,0,0,3.59,0,0.74,29.46,0,12.06,0,0,0,0,48.36,85.17,0,0
 36-46,0,0,0,0.63,0,1.6,0,0,35.71,0,0,0,0,0.7,0,2.46,0.67,1.99,24.06,7.19,32.06,0,0,0,0,14.5,47.67,0,4.96
 48-58,0,0,0,0,0,0,0,0,33.61,0,0,0,0.66,0.43,0,10.47,0,1.91,17.83,0,24.92,0,0,0,0,33.75,83.74,0,0
 60-70,0,0,0,0,0,1.1,0,0,28.85,0.75,0.9,0,0,0,0,13.86,0,0,16.45,0,15.76,0.76,0,0,4.59,8.62,48.25,0,0
 72-82,0,0,0,0,3.73,2.6,0,0,44.93,0,0,0,0,0,0,24.3,0,1.55,9.5,0,11.45,1.23,0,0,0,1.94,43.89,0,0
 84-94,0,0,0,2.04,1.01,2.55,0,0,64.13,0,0,0,0,0.73,0,9.15,0.92,0,25.39,0,28.5,0.59,0,0,0,14.84,12.46,0,0
 96-106,0,0,0,0.58,0,0.7,8.17,0,57.63,0,0,0,0,1.93,0,5.72,2.47,3.07,1.56,0,27.11,0,0,0,0,7.03,29.99,2.43,0
108-118,0,0,0,0.59,0,5.16,0,1,44.32,0,0,1.43,0,2.11,0,10.75,1.29,2.97,9.73,0,20.2,0,0,0,0,5.39,18.85,0,0
120,0,0,0,0,0,4.28,0,0,49,0,0,0,3.26,0,3.16,19.53,0,3.62,23.25,0,26.81,0,0,17.18,0,3.74,42.49,0,0
