stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,gut,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,54.7,811.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0
  5-6,50.03,272.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,0,0,0,0,0,0,0
  7-9,6.18,0,5.27,0,0,0,0,0,3.8,0,0,0,0,0,0,0,49.25,18.46,0,40.93,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.92,0,0,0,0,0,0,0,2.29,0,0,0,0,3.69,0,0,0,0,1.28,1.36,0.81,0,0,1.45
 24-34,0,0,0,20.05,0,3.59,5.14,0,0,0,0,2.59,0,0,0,0,11.09,0,0,0,0.93,0,0,0,0.63,0,0.98
 36-46,0,0,0,2.63,0,0,0.89,0,0,0,0,0,1.02,1.24,0,0,4.61,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,17.5,0,0,2.71,0,0,4.81,0,0.55,0,3.61,0.37,0,7.72,0,0,0,0,0,0,0,2.09,0,0
 60-70,0,0,0,7.77,0,0,0,0,0,0,0,0.86,0,0.9,0,0,2.84,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,14.61,0,0,0,0,0,0,2.29,1.37,0,0,0,1.11,6.19,0,0.73,0,0.6,0,0,0,3.18,0,0
 84-94,0,0,0,16.47,0,0,1.74,0,0,0,6.88,2.26,0,3.15,0,0,2.42,0,0,0,0,0,0,0,5.33,0,0
 96-106,0,0,0,9.36,0,0,1.21,0,0,1.5,8.28,2.97,0,0,0,0,12.36,0,0,0,4.12,0,0,0,0,0,0
108-118,0,0,0,8.41,0.45,1.05,3.79,0,0,1.37,9.4,1.23,0,1.21,0,0,6.32,0,0,0,1.47,0,0,0,0,0.9,1.1
120,0,0,0,4.12,0,0,0,2.75,0,1.85,7.87,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87
