stage,axial,blastomeres,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  5-6,0,17.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,8.3,0,0,0
 10-12,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0
 14-21,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,5.3,0,0,0,0,0,1.89
 36-46,0,0,0,8.24,0,0,0,0,0,0,0,8.02,1.75,4.17,0,7.35,0,0,0,0,0,1.28
 48-58,0,0,0,2.46,1.93,4.6,0.54,0,0,0,0,0,0.55,6.57,0,13.3,0.6,0,0,0,0,8.97
 60-70,0,0,0,10.44,2.22,5.2,0,0,0,1.98,0,1.73,0,11.59,0,15.52,0,0,0,0,0,3.34
 72-82,0,0,0,5.43,1.09,16.55,2.8,0,0,2.12,0,0,0.75,20.81,0,13.04,0,0,0,0,0,0
 84-94,0,0,1.44,0,0,58.62,0,0,0,4.07,0.78,0,0,32.21,0,7.73,0,0,0,0,0,0
 96-106,0,0,0.87,6.89,0,70.41,0,0,0.63,2.7,0,7.38,3.94,26.73,0,3.59,0,0,0,0,0.7,0
108-118,0,0,1.22,2.91,0.45,73.04,0,0,0,4.74,0,0,0,48.24,0,23.33,0,1.46,0,7.29,0,0
120,0,0,0,0,0,57.46,0,2.72,0,2.43,0,0,12.2,8.06,5.56,29.32,0,0,0,0,2.89,0
