stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,180.54,0,0,0,0,0,0,0,0,0,0,0,21.65,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.26,0,0,0,0,0,319.3,0,0,0,0,0,0,0,0,0,0,0,48.02,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.07,5.63,7.23,0,4.79,0,0,0,0,0,13.44,0,0,0,0,0.92,0,0,1.3,0,0,0,392.19,1.3,26.85,0,0,0,0,0,0,0,270.97,0,0,3.67,0,0
 24-34,0,0.75,11.71,2.67,0,41.88,0,0,0,1.56,0,0,0.69,0,0,0,0,0,0,5.78,0,0,5.47,5814.83,0,228.71,3.21,0,5.75,0,0,0,0.65,1756.79,0,0,12.82,0,0
 36-46,0,0.98,11.94,0,0,283.6,0,0,0,25.12,0,0,0.65,0,0,0,0,0,1.09,16.5,0,0,3.54,13308.26,2.62,300.9,1.46,7.92,61.37,0,0,0,0,2785.87,0,0.62,1.76,0,7.43
 48-58,0,0.54,104.38,3.69,0,1238.68,0,9.14,3.37,252.8,0,0,0.42,0.37,12.9,14.44,0.95,9.88,5.77,90.78,0.41,8.67,28.01,20016.41,9.38,175.16,13.09,0,13.99,0,0.99,0.53,0,2850.99,0,0,3.38,0,18.32
 60-70,0,13.49,72.37,3.93,0,2532.41,0.81,3.99,27.58,289.18,0,0,0,8.38,7.11,21.78,0,0,0,184.74,2.49,1.74,10.66,24451.54,6.22,158.08,49.26,0,31.13,0,0,3.36,0,2956.18,0,0,14.63,1.79,0
 72-82,0,3,73.15,1.49,0,3663.79,0,5.34,3.74,299.83,7,0,4.07,10.35,0,52.37,2.98,18.76,1.28,275.51,0.83,34.52,15.14,21819.82,0,225.99,39.92,3.28,11.6,1.65,0.63,1.5,0,1760.83,1.16,1.7,5.73,5.07,15.73
 84-94,0,2.29,102.3,12.6,4.43,3002.97,0,9.42,1.3,404.22,2.93,1.95,6.02,3.22,1.56,54.55,2.03,25.26,0,206.01,0,55.07,7.65,14024.24,0,192.21,39.76,2.65,33.94,0,0,0.69,0,1198.86,8.26,7.26,14.17,7.94,5.38
 96-106,0,0,109.31,43.5,0,3103.65,2.74,16.4,12.33,355.9,6.88,0,7.99,7.21,0,79.03,1.42,16.18,1.36,246.28,7.7,16.9,1.09,11215.83,0.62,280.01,57.2,1.51,30.67,0,1.05,0.66,0,487.06,5.35,1.78,13.24,4.28,24.6
108-118,0,0.71,106.62,4.4,19.82,3173.64,5.39,6.12,2.89,363.09,6.07,0,9.8,9.58,2.37,186.09,6.32,62.84,0,347.11,2.16,40.28,19.06,12714.28,2.08,216.59,52.87,0,15.06,0,0.81,0,0,411.72,7.46,0.9,13.26,7.58,0
120,0,8.73,150.63,41.5,26.01,4212.17,13.99,31.69,31.86,1063.16,5.8,0,20.89,45.02,4.27,265.33,14.75,63.78,0,705.96,4.4,18.36,41.04,31497.74,11.07,376.52,116.42,0,6.22,0,8.24,0,0,955.25,0,0,37.96,0,0
