stage,blastomeres,erythrocytes,eye,gut,immune,ionocyte,mesenchyme,neural,periderm
  5-6,30.47,0,0,0,0,0,0,0,0
 24-34,0,0,0.71,0,0,0,0,1.99,1.06
 36-46,0,0,0,0,0,0,0,2.43,0
 48-58,0,0,1.44,0,0,0,0.54,0,0
 60-70,0,0,0,0,0.65,0,0,0.97,0.75
 72-82,0,0.88,0,0,0,0,1.08,0,0
 84-94,0,0,0,0.57,0,0,1.85,0,0
 96-106,0,0,0,0,0,0,2.39,0,0.6
108-118,0,0,0,0,1.1,0.7,0,0,2.11
