stage,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle
 14-21,0.84,0.81,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0.95,0,0,0
 24-34,0,0,0,0,0,0.63,0,0,0.87,0,0,0.8,0,0,14.18,0,0,0,0
 36-46,0,0,0,0,0.61,0,0,0,0,0,0,5.1,0,0,20.27,0,0,1.11,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.8,5.57,0,0,21.19,0,0,0,0
 60-70,0,1.95,0,2.17,0,0,0,0,0.97,0,0,12.32,0,0,11.78,0,0,0,0
 72-82,3.12,0,0,0,1.64,0,0,2.6,0,0.56,0,0,0,0,12.34,0,0,1.21,0
 84-94,5.52,0,0,0.58,0,0,0,0,0,0.6,0,10.75,0,0,69.14,0,0,0,0
 96-106,1.32,6.97,0.62,1.1,0,0,0.85,0,1.67,0,0,6.3,0,0,69.17,0,0,0,1.67
108-118,1.39,0,0,1.18,1.06,1.81,0.79,0,0,0,0,5.88,0.43,0.56,31.35,0,0.62,1.63,0
120,4.34,0,0,1.23,0,1.94,0,0,0,0,0,3.7,0,0,78.3,0,0,0,0
