stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,51.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.09,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,37.02,0,0,0,8.91,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.02,0,3.2,0,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,26.52,0,5.41,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.34,1.06,1.42,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,2.31,15.07,0,0,0.94,0,0,3.31,2.36,0,0.86,2.62,0,0,0,0
 24-34,0,0,0,0,1.05,0.61,3.15,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,32.19,0,7.01,2.91,0,0,0.91,0,0,0,4.75,0,4.06,0,0
 36-46,0,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,15.61,0,0,0,0,0,4.8,0,0,0,3.78,0,2.04,0,0
 48-58,0,0,0,0,0,0,15.81,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0.51,58.88,0,0,0.42,0,0,0.63,0,0,0,9.11,0,0.53,0,0
 60-70,0,0,0.62,0,1.99,0,88.74,0,0.83,13.19,0,0,0.95,0,1.69,0,0,0,3.7,0,1.04,1.58,42.01,0,0,0,0,0,1.95,0,0,0,6.61,0,0,0,0
 72-82,0,0,0,0,1.76,0,382.23,0,0,2.1,0,0,1.16,0.5,0,2.96,1.43,0,11.08,0,0,0,39.32,2.81,3.27,5.5,0,0,1.49,0,0.57,0,2.8,2.06,9.77,0,2.94
 84-94,0,0,0.66,0,0.68,0,331.84,0,0,2.44,0,0,0,3.33,0,0.75,0,0,14.95,0,0,0,59.11,0,5.67,1.85,0,0.6,5.64,0,0,0,0,1.2,0,0,0
 96-106,0,0,1.04,0,0.57,0,318.37,0,0,10.64,0,0,0,0.57,0.77,1.99,1.73,0,5.78,0,0,0,31.21,0,2.77,4.74,0,0,10.51,0,1.27,0,0,0.83,0.71,0,0
108-118,0,0,0,0,2.77,1.23,293.73,1.06,0,1.77,2.99,0,0,0.83,0,1.8,0,0.9,5.54,0,0,0,46.86,0,1.6,1.51,0,0,3.59,0,1.61,0,3.59,2.02,0.59,1.09,1.28
120,0,0,0,0,15.7,0,293.16,4.59,0,15.94,0,0,0,0,0,2.11,5.46,0,13.58,0,0,1.05,46.17,0,0,0,0,0,2.72,0,0,0,0,0,0,0,0
