stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48,13,0,0,0,0,0,0
 14-21,0,5.56,1.11,0,0,0,0,1.34,0,0,0,1.33,0,10.95,6.13,0,0,0,0,5.86,0,0
 24-34,0.86,0.91,0,0.6,0,0,0,0,0,0,0,0,0,0,4.31,0,0,0,0.71,0.62,0,0
 36-46,0,0.64,0,0,0.89,0,0,0,0,0,0,2.13,0,0,7.62,0,0,0,0,0,3.49,0
 48-58,0,0,3.47,7.05,0,0,0,0,0,0.46,0,0.41,0,0,13.4,0,0,0,0,0,0,10.73
 60-70,0,0,9.43,5.62,0,0.9,0,0,3.36,0,0,5.11,0,0,17.89,0,0.62,0,0,0,4.17,2.57
 72-82,0,0,29.12,7.22,0,11.42,0,0,12.73,0,0,6.83,0.77,0,9.43,0,0,0,0,0,0,0
 84-94,0,0,13.24,1.18,0,0,0,0,11.61,0,0,3.49,0,0,8.7,0,0,0,0,0,0,0.59
 96-106,0,2.51,30.36,4.13,0,0,4.5,0,19.43,0,1.23,7.19,0,0,1.4,0,0,0,0,0,0,1.78
108-118,0,0,13.49,11.52,0,1.58,0,0,26.36,0,0,7.68,0,0,3.88,0,0,0,0,0,2.51,0.51
120,0,0,14.77,13.37,0,0,0,0,55.64,0,3.85,1.08,0,0,17.98,0,0,2.65,0,0,0,0
