stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,43.8,731.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.76,0,0,0,0,0,0,0,0,0
  5-6,30.31,840.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.16,0,0,0,18.24,0,20.36,0,0,0,0,0,0,0,0,0
  7-9,10.6,65.62,0,37.51,0,0,0,91.84,0,0,0,0,0,63.49,0,0,0,0,0,0,0,0,0,0,0,581.8,7.93,0,0,214.29,0,5.34,9.51,0,0,0,0,0,0,0,0
 10-12,0,13.95,0,40.61,0,0,0,67.86,0,0,0,0,0,24.54,0,0,0,0,0,0,0,0,0,0,0,628.13,47.95,0,0,155.18,0,0,30,4.75,26.23,0,0,3.51,0,0,0
 14-21,0,0,0,4.52,41.88,21.76,0,18.09,0,0,0,8.8,0,0,0,0,2.01,0,0,0,0,23.74,0,0,20.05,226.36,4.47,1.07,2.89,6.47,0,10.49,0.91,40.57,3.62,2.65,67.8,89.93,0,0,0
 24-34,0,0,0,0.6,10.91,11.1,0,30.55,0,0.62,0,2.78,0,0,0,1.01,0.61,0,1.09,1.38,0,9.77,0,1.52,9.13,230.28,1.43,1.36,0.67,0,0,10.13,0,0,0.63,0,3.37,41.03,0.7,0,0.86
 36-46,0,0,0,0,7.28,0.57,0,38.24,1.68,2.68,0,13.49,0,0,0,0,0,4.76,0,1.24,5.58,23.62,0,0.55,2.57,211.9,0.7,1.1,0,0,0,10.46,0,0,0,0.7,0,44.42,0,0,1.28
 48-58,0,0,0,0,9.77,0,0,80.55,0,0,0,9.25,0.69,0.48,0.54,0,0.38,0,0,0,0.43,12.3,0,1.56,4.41,226.87,1.68,0,0.8,0,0,3.58,0,0,0.61,0,0,25.61,2.94,0,3.26
 60-70,0,0,0,0,2.31,0.83,0,107.14,0,0.91,2.66,28.29,0,0,0,0,0,0,1.55,4.22,0,20.74,0,0,16.58,215.14,0,1.15,0,0,0,2.74,0,0,1.47,0,0,19.8,1.05,0,3.23
 72-82,0,0,0.64,0,4.49,5.41,0,88.15,0,3.73,0,14.49,1.62,0,3.56,1.21,0.56,0,0,0,0,42.01,0,1.11,6.39,180.91,0,1.32,6.51,0,0,8.5,0,0,1.68,0,0,10.58,3.97,1.09,0
 84-94,0,0,0,0,10.63,1,0,74.12,0,0.68,3.94,19.65,0.68,0,0,3.57,2.84,0,0,2.14,3.35,26.13,0.62,0,6.24,132.15,2.18,0,1,0,1.75,21.99,0,0,0,0,0,7.48,7.95,0.57,0
 96-106,0,0,0,0,9.76,1.64,0,47.7,0.71,0,9.24,21.86,1.52,0,0.79,3.28,0.87,3.63,0.63,8.43,1.75,42.17,0,1.7,4.42,189.64,0.62,0,1.01,0,0,18.97,0,0,0,0,0,4.61,5.06,0,0
108-118,0,0,0,0.74,13.27,0.82,3.41,40.8,0.67,3.27,1.5,29.82,2.22,0,1.01,11.8,3.33,0,0,0.82,0,41.55,0,1.52,5.09,157.67,1.64,2.86,1.83,0,0,36.06,0.48,0,0,0,0,0,0.45,2.47,0
120,0,0,0,0,45.62,8.53,0,19.18,1.18,2.58,0,66.48,3.38,0,0,12.92,1.72,1.59,3.58,1.97,0,46.66,1.05,20.84,15.86,175.17,0,2.92,0,0,0,12.69,0,0,0,2.83,0,10.43,13.86,2.66,0
