stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,64.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,5,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,5.7,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.95,0,0,0,0,2.46,0,23.45,0,0,0
 24-34,0,2.22,5.57,0,1.33,0,0,0,0,0,0,0,0,0,0,0.76,275.8,0,4.06,0,0,0.98,0,62.07,0,0,0
 36-46,0,0.85,0,0,22.66,0,6.89,0,0,0,0,0,0,2.45,0,0,835.71,0,4.57,0,0,0,0,160.48,0,0,0
 48-58,0,0,0,0,98.69,0,13.37,0,0,0.67,0,0,0,1.92,4.66,0,894.62,0,2.72,0,0,0,0,121.65,0,0,0
 60-70,0,0,0.68,0,403.37,0,35.03,0,0,0,0,7.43,0,0,5.77,0.67,1431.79,0,18.31,0,0,4.76,1.35,178.81,0.72,0,0
 72-82,0,0.95,0.95,0,309.59,0,35.07,0,0.52,0,0,0,0,1.69,3.63,0,1091.78,0,8.72,0,0,0,0,56.96,0,0,3.65
 84-94,0,0.66,9.53,1.51,284.58,0,38.45,0.76,0,0,0,1.29,0.59,0.91,2.49,0,684.06,0.65,1.57,0.55,0,0.62,0,23.49,0,0,0
 96-106,0,0,7.54,0,187.29,0,31.09,0,0,0.62,0,0,0.84,0,0.95,0,625.51,0.62,11.64,0,0,0.6,0,19.14,0,0.61,0
108-118,0,0.47,3.31,0,134.39,0,27.31,0,0,2.87,0.64,0,0,0,2.92,0,489,0,15.92,3.82,0,2.47,1.48,15.3,0.55,0,0
120,0,0,0,0,112.92,2.29,24.28,0,0,0,0,0,0,0,0,0,592.11,0,5.78,0,0,0,0,7.41,0,0,0
