stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,93.01,1854.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.72,0,0,0,0,0,0,0,0,0
  5-6,83.99,1654.09,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.15,0,0,0,8.83,0,29.25,0,0,0,0,0,0,0,0,0
  7-9,0,36.2,37.26,0,0,0,64.3,0,0,0,0,0,17.72,0,0,0,0,0,0,0,0,0,0,0,601.82,0,0,0,103.61,0,0,25.62,0,0,0,0,0,0,0,0
 10-12,0,48.45,5.93,0,10.76,0,89.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820.82,0,0,0,177.81,0,0,9.44,0,7.85,0,0,0,0,0,0
 14-21,0,0,10.87,43.06,23.59,0,49.91,0,0,0,6.25,2.67,0,0,0,4.97,0,0,0,0,58.3,0,0,42.71,1042.27,6.09,2.56,3.24,10.91,0,13.73,2.15,63.37,2.56,0,47.2,209.81,0,8.14,0
 24-34,0,0,0,28.29,5.71,0,180.31,0.91,0,1.45,16.07,2.9,0,1.85,1.49,0.7,0.64,5.01,1.13,0,110.21,0,0.89,35.11,1577.89,1.13,4.41,7.72,0,0.99,18.96,0,0.71,6.48,0,3.8,226.03,0,23.46,8.29
 36-46,0,0,0,9.37,3.52,0,304.99,1.66,0,0,24.88,0.78,0,3.13,6.22,0,1.18,0.77,0,0,64.34,0,3.41,23.05,1027.2,0,2.53,2.88,0,0,5.06,0,0,1.46,0,0,196.94,0,4.63,1.64
 48-58,0,0,0,9.69,1.71,0,193.43,0,0,1.3,16.18,2.33,0,0.55,0.54,0,0.43,0.49,0,0,80.7,0,1.92,9.24,409.82,0,0.86,5.37,0,0.73,3.13,0.56,0,0,0,0,49.59,0,12.11,6.71
 60-70,0,0,0,27.67,0,0,143.73,0,0.86,0,16.95,1.26,0,0,0.79,2.65,0,1.05,1.19,1.22,35.38,0,2.45,6.04,243.65,0,1.43,7.63,0,0,6.31,0,0,0,0,0,14.83,0,5.64,0.68
 72-82,0,0,0,4.2,0,0,68.58,0,0,0.8,32.24,2.24,0,0,0,1.44,0,0,0,0,58.99,0,0,11.29,195.14,0,1.6,6.06,0,0,0,0,0,1.46,0.79,0,16.09,1.87,0.6,6.25
 84-94,0,0,0,12.35,6.21,0.8,58.38,0,0.63,1.21,21.19,2.83,0,0,2.82,0.82,1.65,0,3.6,0.98,55.03,0,3.19,9.99,170.59,1.71,1.65,8.24,0,0,11.55,0,0,3.16,0,0,11.86,0.83,5.33,0
 96-106,0,0,1.03,7.01,10.65,1.88,61.73,0,0,0.64,30.98,1.58,0,0,5.3,1.06,2.17,0,0,0,41.25,0.71,1.98,5.77,81.2,1.43,0.57,3.46,0,0,3.83,0,0,0.67,0,0,0,2.82,13.19,5.31
108-118,0,0,0,19.39,4.32,0.47,48.91,0,0.52,1.03,26.81,5.27,0,0,5.08,0,0,0.76,1.33,0,33.07,0,0,10.65,201.5,0,2.02,5.93,0,0,7.06,0,0,0,0.42,0,7.03,3.26,4.78,0
120,0,0,0,20.94,15.42,2.02,92.81,0,1.09,1.66,40.09,0,0,1.54,25.42,0,4.06,0,3.71,0,41.91,0,6.79,12.92,238.74,9.44,0,2.44,0,0,0,0,0,0,0,0,5.51,0,5.74,2.78
