stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,98.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.05,153.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.62,0,0,0,0,0,0
  7-9,9.52,0,0,0,0,0,0,20.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.73,21.44,0,0,19.98,0,9.03,0,0,0,0,0,0
 10-12,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.18,0,0,0,43.34,0,3.07,9.63,0,0,0,0,0
 14-21,0,0,0,2.12,13.42,0,0,6.01,0,0,0,4.01,0.9,0,0,0,0,0,0,0,3.97,0,0,0,53.92,2.3,0,0,2.01,0,0,1.01,18.62,0,0,0,0
 24-34,0,0,0.84,2.06,11.95,0,0,6.87,0,0,0,3.01,0,0,0,0,0,0,0,0,13.52,0,0,0.59,137.81,0,0,1.24,0,0,1.4,0,23.24,0,0,0,0
 36-46,0,0,0,0,21.91,0,0,6.41,0,5.86,0,1.57,0,0,0,0,0,0,0,0.67,14.39,0,0,0.77,94.21,0,0.6,0.59,0,0,10.36,0,13.34,0,0,2.97,0
 48-58,0,0,0,0,12.84,2.35,0,9.08,0,0.45,1.18,10.98,0,1.19,0.69,0,6.73,0,0,0,17.63,0,0,0.43,63.01,0.58,0,0,0,0,3.45,0,14.1,0,0.4,3.5,0
 60-70,0,0,0,0,7.92,0,0,1.58,0.93,2.33,4.06,37.98,1.29,0,0,0,0,0,3.2,0,25.81,0,0,1.48,70.27,0,0,0,0,0,1.7,0,10.06,0,0,4.83,1.66
 72-82,0,0,0,0,3.37,0,0,10.3,0,0,1.14,53.21,2.33,0.59,1.28,0,0,0,1.85,0,39.25,0,0,0.8,14.48,0,0.79,1.74,0,0,1.81,0,7.02,0,2.53,9.71,0.99
 84-94,0,0,0,0,18.37,0,0,5.06,0,0.86,2.34,32.37,1.39,0.77,0,0,0,0,17.01,0,26.99,0,0,0.68,21.62,0,0,0.89,0,0,6.49,1.53,4.08,1.04,2.16,5.3,0
 96-106,0,0,0,0,16.06,0,0.56,0,0,0.57,1.05,84.4,3.45,0,1.3,0.93,0,10.79,0,0,51.24,0.69,0,3.37,10.9,0,1.85,1.69,0,0.87,2.72,0,2.17,1.02,0,5.61,0
108-118,0,0,0,0,10.21,0,0,2.28,0,0.96,2.95,84.28,5,0,1.42,0,0,1.25,3.42,0,42.06,0,0.56,0,22.48,0,0,0.57,0,0,6.79,0,4.92,2.55,0,6.39,0
120,0,0,0,0,13.66,0,0,2.13,0,0,0,71.17,1.66,0,4.89,5.46,5.08,0,0,0,11.6,0,0,0,14.85,0,0,7.82,0,0,7.05,0,0,0,2.09,22.57,0
