stage,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.35,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.78,0,0,3.32,0,0,0,0,1.16,0,0,0
 24-34,0.82,0,0,0,2.66,0,2.52,0,0,0.95,0,0,6.49,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,1.81,0,0,0,0,0,0,1.56,2.33,0,0,0,0,0.85,0,0.85,0
 48-58,0,0,0,0.76,2.05,0,0,0,4.16,1.09,0,0,4.64,0,0,0,0,0.87,0,0,0
 60-70,0,0,0,0,0.99,0,0,0,6.42,7.83,0,0,10.64,0,0,0,0,2.06,0,5.16,0
 72-82,0,0,1.01,0,0,0,1.07,0,0.75,16.43,0.55,0.71,34.2,0,0,1.76,1.4,5.27,0.5,4.44,7.15
 84-94,0,1.75,2.35,0,0,2.03,0,0,0,8.29,0,0,4.1,0,1.88,0,0,2.08,3.9,0.94,1.01
 96-106,0,0,9.05,0,1.29,0,0,0,0,4.66,2.83,1.42,32.16,0,5.42,0,0,0.99,0,0,0.91
108-118,0,0.64,5.43,0,3.84,0,0,1.22,0,34.54,0,0,21.1,0,0,0,1.65,0,0.54,0,1.62
120,0,0,0,0,0,0,0,0,0,11.93,0,0,52.39,3.88,0,0,0,0,0,0,3.38
