stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.54,0,0,0,14.02,0,0,0,0,0,0,0,0,0,0,0,0,46.94,6.25,0,0,20.41,5.41,0,20.96,0,0,0,0,0,0,0
 14-21,0,0,1.19,2.75,0.92,0,0,0,0,0,0,0,0,0,0.86,0,1.72,16.48,0,0,0,0,1.68,1.22,1.14,0.85,4.48,0.93,0,0,0,0
 24-34,0,0,0.6,0,3.95,0,0,0,0.65,0,1.37,0,0,0,6.78,0,1.38,38.44,1.54,0,0.66,0,5.25,0,0,0,0,16.12,0,0,0,0.76
 36-46,0,0,2.24,2.62,9.9,1.3,0,0,6.61,0,0,0,0,0,5.51,0,15.93,53.95,3.73,0,0,0,0.96,0,0,0,0,14.29,0,7.21,0,0
 48-58,0,0,3.38,2.5,19.64,1.03,0,0,5.87,0.92,0,0,0,0.92,15.37,0.95,0.39,48.98,4.46,0,0,0,2.6,0,0,1.46,0,2.89,0,0.84,0,0.39
 60-70,0,0,0,2.52,15.36,1.08,0,0,20.7,0.64,0,0,0,0,7.4,0,5.89,56.25,0,1.47,2.96,0,0,0,0.6,0,0,7.66,0,0,0,0
 72-82,0,0.61,1.36,6.89,15.75,0,0,0,13.72,0.59,0,0,0,0.67,9.21,0.55,1.28,42.05,0,0.79,0.54,0,3.7,0,0,0,0,1.58,2.22,1.3,0.56,6.98
 84-94,0,0,4.26,1.45,27.67,0,3.3,0,16.36,1.52,0,0,0,2.55,13.83,0,2.36,31.66,0,2.26,2.71,0,1.56,0,0,0,0,0,0,2.93,0,0
 96-106,0,1.28,2.08,8.62,18.25,0,0,0,6.94,1.19,0,0,0.77,0,8.56,0,0,20.1,0,0,0,0,2.5,0,0,0,0,0,0,0,0,3.46
108-118,0,0.8,0.46,15.53,19.62,0.89,0,0,12.36,0,0,1.25,1.4,0,9.35,0,0,26.46,2.35,8.14,0,0,3.38,0,0,0,0,0,0,1.92,0,0.98
120,0,0,1.66,19.88,4.01,1.51,0,3.49,0,0,0,0,0,0,0,0,1.44,72.95,0,1.46,0,0,5.59,0,2.89,0,0,0,0,0,0,0
