stage,eye,glial,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vasculature
 24-34,0,0,0,0.79,0,0,0,0,0,0
 36-46,0,2.6,0,0,5.57,0.72,0,0,1.73,0
 48-58,0,0.63,0.51,0.58,5.32,0,0,0,0,0
 60-70,4.22,0,0,0,0.94,0,0,0,1.76,0
 72-82,8.53,0,0,1.65,16.98,0,0,2.57,0,0
 84-94,0,0,0,0,0,0,0.58,0,0,0
 96-106,0,0,3.43,0,4.45,0,0,0,0,0
108-118,0,2.48,1.65,0,0.67,0,1.97,0,0,1.07
