stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,3.09,6.74,0.93,9.84,0,0,2.27,0,0,0,0,0,3.57,0,5.92,80.69,0.89,0.83,0,0.83,10.33,0,7.63,25.56,1.16,0
 24-34,0,1.36,0.95,5.27,0.8,0,0,0,4.17,0.77,0,0,3.39,0,2.54,43.96,0,0.99,0,4.08,0,0,4.38,6.35,1.26,0
 36-46,0,0,0.58,9.01,0.81,0,0,0.65,0,0,0,0.67,2.37,0,0.65,74.24,0,0,0,36.43,0,0,0,4.39,5.14,0
 48-58,0,0,0,15.17,0,0.83,0,0,0,0,0,0,7.46,0,1.87,37.59,0,0,0,2.67,0,0,0,11.95,6.82,0
 60-70,0,0,0,34.92,0,3.69,0,0,0,0,0,0,3.99,0,1.39,52.15,0,1.4,0,0,0,0,0,6.46,0,3.46
 72-82,0,0,0,35.64,0,3.73,3.17,0,0,0,1.61,0,8.48,0.9,0,49.35,0,1.61,0.49,0,0,0,0,9.27,0,0
 84-94,0,1.83,1.55,38.39,1.31,4.16,0,0,0,0,0,2.16,7.69,0,0,52.06,0,1.54,0,2.34,0,0.6,0,6.13,0,0
 96-106,0,3.07,0,27.21,0,0.91,0,0,0,0,0,0,6.51,0,3.22,42.55,0,0,0,3.76,0,0,0,5.46,0,0
108-118,0,2.84,0,13.65,0,11.5,0,0,0,0,0,0,5.23,0,0.88,40.64,0,1.96,0,1.32,0,0,0,0,1.2,0
120,0,1.39,1.38,15.58,0,3.56,0,0,0,0,0,0,8.6,0,0,84.69,0,0,0,1.87,0,0,0,1.98,0,0
