stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,11.34,0,0,0,3.58,3.37,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.38,5.34,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.24,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.26,0,0,0,0,0,1.32,24.79,0,0,0,0,0
 24-34,0,5.05,0,0,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,419.37,0,26.73,0,0,0,0,102.26,0,0,0,0,0
 36-46,0,0,2.38,0,0,20.07,0,0,0,4.42,0,0,0,0,0.62,0,0,5.18,0.61,0,0,1230.48,0,31.22,0,0,0,0,221.5,0,0,0,0,0
 48-58,0,0,6.54,0,0,79,0.46,0,0,33.75,0,0,0.63,0,0,0,0,2.49,3.35,2.99,0.39,1478,0,25.33,0,0,2.39,0,221.81,0,0,0.66,0,0
 60-70,0,0.65,4.13,0,0,172.08,0,0,0,33.66,0,0,0.71,0,0,0,0,0,22.19,14.35,0,2047.43,0,20.6,0,0,0,0,275.03,0.81,1.31,0.59,0,0
 72-82,0,1.8,2.48,1.46,0,151.74,0,0,0.64,14.54,0.86,0,2.3,0,0,0,0,0,10.43,0,0,1741.99,0,15.84,0,0,0.96,0,154.78,0,0.63,10.34,0,0
 84-94,0,5.07,5.99,0,0,176.56,0,0,0,22.08,2.96,0,0,0,5.49,0,0,0,12.7,6.8,0,1441.83,0,12.45,0,0,0,0,139.92,7.73,0,0,0,0
 96-106,0,0,5.56,0,0,121.58,0,0,0.72,14.85,1.06,0,0.58,0.57,0,0,0,0,10.43,0,3.02,1082.86,0,6.32,0,0,2.54,0,47.11,3.76,0,0,0.8,0
108-118,0,3.19,12.53,1.48,0,71.78,0,0.52,0,24.39,0,0,0,0.61,0.43,0,0.98,2.99,18.6,0,1.85,1216.78,0.69,18.99,9.84,0,0,0,58.99,6.03,0,0,0,0
120,0,0,14.54,0,13,163.72,0,1.41,0,12.09,0,0,0,0,0,6.33,0,0,10.66,0,0,1615.01,0,58.37,2.43,0,0,0,22.8,3.47,0,8.6,0,2.59
