stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.05,586.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,0,0,0,0,0
  5-6,19.47,348.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25,0,0,0,0,0,32.58,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.74,0,9.46,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,35.19,0,0,0,20.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.41,25.21,0,0,64.17,0,0,0,0,0,3.11,0,0,0,0,0,0
 14-21,0,0,0,0,9.69,4.19,0.85,0,0,0,1.81,0.83,0,0,0,0,0,0,2.11,0,0,1,13.18,0.9,1.04,0.87,1.28,0,9.49,0,2.09,3.55,1.47,8.78,0,0,0,0,0
 24-34,0,0,0,0,1.36,0,2.03,0,0,0,6.13,0.73,0,0,0,0,1.21,0,13.14,0,0.91,0.64,19.2,0,0.69,0.82,0,0,0.74,0,0,0,0.6,5.86,0,0,0.67,0,0
 36-46,0,0,0,0,1.58,0,1.31,0,0,0,9.71,0,0,0,0,0,0,0,3.95,0,0,0,14.86,0,0,0.59,0,0,5.62,1.61,0,0,0,3.11,0,0,1.18,0,0
 48-58,0,0,0,0,1.01,0,0,0.38,0,0.44,2.73,0,0,0,0.42,0,0,0,5.47,0,0.43,1.22,17.29,0,0.56,0,0,0,17.76,0,0,0,0,0,0,0,1.19,0,1.44
 60-70,0,0,0,0,0.95,0.69,0,0,0,0,2.66,1.41,0,1.91,0,0.56,0,0,11.6,1.76,1.51,0.61,8.04,0,0,0.64,0,0,13.71,0,0,0,0,0.89,0,0,6.71,0,4.61
 72-82,0,0,0.54,0,0.97,2.74,0.65,0,0,3.28,4.82,0,0,1.32,3.57,0,0.62,0,25.24,0.95,2.08,3.08,4.05,0,1.95,0,0,1.03,1.45,0,0,0,0,0,0,0.75,1.8,0,3.5
 84-94,0,0,0,0,6.05,39.16,0.98,0,1.24,2.02,2.96,0,0,0,8.82,1.3,0,0,20.73,0,1.66,4.16,5.23,0,2.89,5.45,0,1.68,26.09,0,0,0.8,0,0,3.2,0,3.12,1.09,0
 96-106,0,0,0,0,2.59,5.01,3.27,0,0,0,3.15,4.2,0,0,6.3,0.83,0.66,10.62,14.53,1.22,0,0.63,0,0,6.39,1.24,0,1.57,26.21,0,0,0,0,1.96,4.75,0,2.37,0,3.32
108-118,0,0,0,0,5.41,4.38,0.55,0,1.47,0,3.67,1.83,0,0.43,1.8,0.56,0.87,0.45,11.76,0,1,2.75,9.13,0.77,0.43,1.12,0,0,6.24,0,0,0.49,0,3.64,0,0,0.98,0,0
120,0,0,0,0,5.98,1.01,0,0,2.33,0,6.64,1.02,0,0,5.91,0,0,0,34.83,0,1.45,5.82,10.52,0,0,0,0,0,19.82,0,0,0,0,0,0,0,0,0,0
