stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,18.39,11.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,8.94,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.02,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,0.82,0,0,0,0,1.16
 24-34,0,0,3.67,0,0.68,0,0,0,0,0,0,0,0,0,10.73,0,0,0,0,0.78,0,0
 36-46,0,0,0,0,2.53,0,0,0,0,0,1.61,0.58,0,0,9.32,0,0,0,0,0.77,0,0
 48-58,0,0,9.61,0,2.56,2.53,1.9,0,0,0,0,0,0,0,6.56,0,0,0,0,0.76,0,0
 60-70,0,0,0,0,0,2.05,0,0,0,0,0,0,0,0,20.75,0,0,0.68,0,0.91,0,0
 72-82,0,0,0,0,2.93,1.46,0,0,0.69,0,0,0,0,0,0.88,0,0,0,0,1.19,0,0
 84-94,0,0,14.69,0,0,1.34,0,0,0,0.62,0,0,0,0,9.68,0,0,1.28,0,0,0,0
 96-106,0,0,16.87,10.59,2.15,3.26,0,0,6.42,0,0,0,1.96,0,5.23,0.89,0,1.25,0,0,0,0
108-118,0,0,13.61,0,1.34,3.89,0,0.66,3.35,0,0,1.51,0,0,4.41,0.79,0,0,1.88,0,0.88,0
120,0,0,20.49,0,0,0,9.34,1.33,30.01,0,0,6.95,0,1.49,2.59,0,0,0,0,0,0,0
