stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,139.23,3296.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.97,0,0,0,0,0,0,0,0,0,0,0
  5-6,779.43,10922.03,0,10.49,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,250.35,29.34,0,0,148.74,0,102.7,0,0,0,0,0,0,0,0,0,0,0
  7-9,439.2,881.14,0,1137.64,0,18.86,0,2935.16,0,0,0,0,651.21,0,0,0,0,0,0,0,0,0,0,0,22324.17,557.25,0,0,8270.46,0,0,60.43,0,0,0,0,0,0,0,0,0,0
 10-12,0,791.58,0,890.22,0,141.99,0,1954.56,0,0,0,0,179.88,0,0,0,0,0,0,0,0,0,0,0,17773.33,203.69,0,0,5950.86,0,10.59,65.4,31.16,672.09,0,10.83,29.88,0,0,0,0,0
 14-21,0,0,0,25.84,304.66,92.45,0,194.37,0,0,71.63,14.39,5.18,1.07,0.82,13.28,0,3.28,0,0,158.02,0,0,161.35,2868.18,20.32,11.2,28.38,87.09,0,62.72,3.29,230.21,20.81,6.03,181.56,870.1,0,0,12.63,0,0
 24-34,0,0,0,11.7,88.79,18.6,0,489.49,0.85,1.56,82.83,5.21,1.41,11.98,7.21,3.02,1.72,9.67,2.8,0,393.55,0,0.91,131.11,3681.03,21.12,11.85,35.7,0,0,104.2,0,1.15,7.2,2.11,17.93,666.7,0,0,51.58,0,6.53
 36-46,0,0,0,0.56,83.36,2.56,0,1109.26,4.91,1.62,52.17,4.38,0,3.2,8.23,2.14,1.19,4.31,7.76,0,330.01,5.89,11.01,86.72,2434.7,4.04,11.89,12.53,0,0,50.16,0,0,1.86,5.4,0,520.05,0,0,51.49,0,14.18
 48-58,0.39,0,0,0.55,59.72,3.67,0,1064.83,2.39,4.05,65.55,4.15,0,0.67,7.26,13.11,5.38,6.92,0.97,7.91,280,0.37,16.3,64.48,1073.91,10.72,2.09,12.22,0,0,25.71,0,0,1.67,0,0,148.47,0,0,27.96,0,13.15
 60-70,0,0,0,0,58.02,2.65,0,629.58,3.02,2.73,79.99,10.06,0,2.73,6.77,0,1.16,9.11,2.63,0,223.39,0,13.43,35.43,598.35,5.41,1.2,11.31,0,0.71,13.9,0,10.6,1.18,0,0,38.68,0,0,22.49,0,3.58
 72-82,0,0,1.17,0,31.93,3.68,0,234.36,0,3.37,46.07,10.51,0,2.95,8.85,4.84,3.5,4.85,1.56,6.01,171.23,2.94,6.43,29.2,290.99,2.91,12.03,11.85,0,4.44,15.89,0,0,1.23,0,0,21.72,0.67,1.53,26.66,0,3.18
 84-94,0,0,0,0,44.16,18.82,2.63,194.13,0.66,4.56,34.59,17.57,0,0,18.93,3.95,7.56,4.69,0.74,0.83,161.65,0,15.03,35.74,295.94,4.25,6.34,3.64,0,0,23.77,0,0,2.26,0,0,6.62,6.16,0,20.17,3.49,3.06
 96-106,0,0,0,0,42.94,3.21,0,124.93,2.22,1.78,39.75,15.92,0,0.79,14.17,2.13,1.28,2.45,4.74,0,77.83,0.65,9.03,13.87,197.7,1.43,1.94,7.2,0,0,11.53,0,0,1.23,0,0,2.26,6.69,0,28.36,2.3,0
108-118,0,0,0,0,40.46,18,0,157.16,0.51,4.64,67.17,15.68,0,2.5,21.68,6.59,2.93,2.66,8.26,1.27,92.42,0.42,5.38,17.71,292.2,2.88,4.39,5.14,0,0,26.13,0.79,0,2.08,0,0,2.76,1.12,1.53,17.16,0.66,0.52
120,0,0,0,0,41.01,34.57,0,128.25,0,1.82,56.54,3.31,0,1.54,20.13,3.63,0,2.07,7.14,0,83.85,0,6.22,15.32,449.24,4.72,4.37,7.12,0,4.59,10.81,0,0,0,0,0,19.31,0,0,32.79,4.61,0
