stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64,0,0,0,4.7,0,0
 24-34,0,1.48,0,0,0,0,0.93,0,0,0,0,0,1.96,0,0,58.63,0,0,3.28,24.89,0,0
 36-46,0,0,0,0.94,0,0,0,0,0,0,0,0,0.59,0,0,189.24,2.05,0,0,56.87,0,0
 48-58,0,0,0,29.13,0,0,9.84,2.39,0.68,0,0,0,1.95,0,0,587.35,1.67,0,0,104.63,0,0
 60-70,0,0,0,48.13,0.68,0,11.18,0,0,0,0,3.44,7.19,0,0,932.14,0,0,0,173.19,0,0
 72-82,0,2.48,2.22,73.57,0,1.75,4.72,0,0,0,0,0,5.8,2.13,0,960.45,1.41,0,0,112.54,0,0
 84-94,0,9.6,0,60.34,0,5.25,13.8,0,0.82,0,0,0,1.9,4.04,0,522.6,0,0,0,101.8,0,0
 96-106,0,0.88,0,28.32,0,0,18.3,0,0,0.66,0.85,0,2.62,0,0,567.9,6.25,0.93,0,61.63,0,8.09
108-118,0.98,6.92,0,57.66,0,0.45,2.76,0.54,0,0,0,0,12.21,0,0.7,466.13,0,0.96,0,42.14,1.03,0
120,0,11.28,0,131.89,0,0,24.08,0,1.34,0,0,0,23.9,0,2.62,1061.39,3.5,0,0,13.29,0,0
