stage,axial,eye,glial,mesenchyme,mucous,mural_cell,muscle,neural,pericytes,periderm,spinal_cord,vasculature
  7-9,4.68,0,0,0,0,0,0,4.66,0,0,0,0
 14-21,0,0,0,0,0,0,1.14,0.84,0,0,0.96,0
 24-34,0,0,0,0,0,0,0,4.37,0,0,0.65,0
 36-46,0,0,0,0.95,0,0,0,0.58,0,0,0.9,0
 48-58,0,0,0,0.5,0,0,0,1.4,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.76,0,0,0,0
 72-82,0,0,0,0,1.47,0,0,4.93,2.17,1.61,0,0
 84-94,0,1.41,0,0.73,0,3.36,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.98,0,2.18,0,0
108-118,0,0,1.35,0,0,0,0,1.79,0,0,7.71,0.48
120,0,0,0,0,0,0,0,10.48,0,0,0,0
