stage,blastomeres,endocrine_pancreas,exocrine_pancreas,eye,glial,gut,heart,iridophores,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.96,3.96,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1
 24-34,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0.94
 36-46,0,0,0,0.56,0.94,0,0.56,0,0,0,0,14.28,0,0,1.31
 48-58,0,0,0,4.71,2.94,0,0,0,0,0,0,1.87,0,0,0.63
 60-70,0,0,0,10.31,4.06,0,0,0,0,0,0,6.59,0,0,0.93
 72-82,0,0,0,15.5,1.3,0,0,0,0,1.5,0,5.32,0,0,0
 84-94,0,0,0,0,0,0.57,0,0,0,0,0,9.45,0,0,0
 96-106,0,0,0,12.27,1.29,0,0,0,0,1.64,0,0,0,1.04,0
108-118,0,0.89,1.32,0,1.49,0.42,0,1.75,1.28,0,0.95,1.31,0,0,0
120,0,0,0,0,0,0,0,0,19.83,0,0,7,0,0,0
