stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,109.52,1443.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.39,0,0,0,0,0,0,0,0
  5-6,40,711.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24,0,0,0,9.89,0,42.69,0,0,0,0,0,0,0,0
  7-9,5.17,0,0,3.54,0,0,0,19.15,0,0,0,0,0,16.83,0,0,0,0,0,0,0,0,0,0,120.31,32.18,0,0,44.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.18,0,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.34,9.66,0,0,126.98,0,6.22,0,22.95,0,0,0,0,0,0
 14-21,0,0,0,0,15.5,2.82,0,2.62,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,3.53,39.22,7.1,1.19,1.24,0,0,0,4.38,0.86,4.69,15.46,0,0,0,0
 24-34,0,0,0.67,0.67,4.28,0,0,7.91,0,0.61,0,1.45,0,0,0,1.39,0,0,0,0,9.75,0,0,6.67,101.67,1.51,2.07,2.49,0,0,4.18,0,0,1.58,19.06,0,1.83,0,0
 36-46,0,0,0,0,4.1,0,0,5.16,0,1.12,0,0,0.83,0,0,0,0,0.56,0,0,4.61,0,0.71,2.03,132.78,3.22,0,0.57,0,0,11.33,0,0,0,19.25,0,0,0,1.47
 48-58,0,0,0,0,3.65,0,0,10.86,0,1.62,0.94,5.13,0,0,0,0,0,6.09,0.68,0,7.7,2.58,0,0.61,135.93,0,0,0,0,0,2.68,0,0,0,13.95,0,3.48,0,0
 60-70,0,0,0,0,4.24,0,0,31.08,0,1.38,0.85,7.08,0.81,0,0,0.67,0,0,0.59,0,14.1,0,1.12,5.2,189.53,0,0,0.79,0,0,4.06,0,0,0,17.24,0,0,0,0
 72-82,0,0,0,0,1.28,0,0,33,0,0,1.52,9.04,0,0,0,0.49,0.63,0,0.55,0,10.82,0,0,1.48,124.68,0,0,0,0,0,2.23,0,0,0,18.42,0.51,2.78,1.28,0
 84-94,0,0,0,0,3.33,1.74,0,23.04,0,0,0.69,5.85,4.89,0,0,0,0.8,0,0.69,1.5,16.66,3.75,1.01,2.1,57.9,0,1.22,0,0,0,4.77,0,0,0,10.2,0,0,0.89,0
 96-106,0,0,0.61,0,0.58,0,0.9,48.57,0,0,1.74,1.07,1.64,0,0,4.76,0.77,0,0,0,17.69,0,0,1.86,75.41,0.59,4.7,0,0,0,9.81,0,0.7,0,4.8,0,1.05,4.62,0
108-118,0,0,0,0,13.62,0.93,0.44,22.18,0,0.43,0.74,3.71,4.53,0,0.69,3.47,3.3,2.9,0,3.4,13.28,1.15,0,1.17,104.35,0.47,0,1.33,0,1.65,4.34,0,0,0,8.21,3.3,1.73,0,0
120,0,0,0,0,1.08,1.7,0,0,2.29,0,0,8.72,8.03,0,0,4.61,0,0,0,3.79,11.81,0,0,0,101.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
