stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,30.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.69,0,0,7.82,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.94,0,0,0,2.08,0,0,0,0,0,0,2.91,0,0
 24-34,0,0,0,2.15,0,0,0.69,4.27,0,0,1.47,5.95,0,0.77,0,0,0,0.94,0.74,0,0
 36-46,0,0,0,11.36,0,0,0,1.44,8.35,0,0.77,22.74,0,0,0,0,0,2.78,2.36,0,0
 48-58,0,0.42,0,8.27,0,18.33,0,3.89,2.81,1.17,1.52,57.92,0,0.37,0,0,0,0.65,6.01,0.37,0
 60-70,0,0,0,22.28,3.53,0,0.58,0,7.69,0,1.86,62.24,0,0,0,0,0,0.93,12.65,3.01,0
 72-82,0,0,0,71.83,0,12.62,0,0,0.53,0,1.45,77.46,0,3.29,0,0,0,1.15,6.4,0,0
 84-94,0,0,0,71.99,0,2.2,0.55,1.18,7.66,0,0.7,55.12,0,0,0,0,1.4,0,4.54,0,0.77
 96-106,0,0.72,0,48.08,0,15.57,0,0.73,2.39,0,1.1,36.09,0,2.22,0,6.12,0,0,6.14,0,0
108-118,0,1.21,0,19.56,0,2.73,2.51,2.73,6.64,0,0.55,44.64,1.4,1.76,0,0,0,0.42,0,0,0.99
120,0,0,3.12,46.07,0,7.89,2.31,1.01,0,0,0,49.55,1.26,0,0,2.55,0,0,20.77,0,0
