stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,iridophores,liver,mesenchyme,neural,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,5.41,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0
 36-46,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0
 72-82,0,0,0,0,0,0,20.85,0,0,0,10.56,0,1.36,0
 84-94,0,0,0,1.71,0,0,27.27,0,0,0,7.23,0,0,0
 96-106,0.69,3.92,1.77,6.8,0,2.37,69.38,0,0,2.61,30.56,0,0,0
108-118,0,1.99,6.86,15.08,0,3.38,110.4,0.43,0.43,1.13,23.8,0,0,1.23
120,5.21,2.2,0,0,1.01,0,162.35,0,0,0,89.22,1.07,0,0
