stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,49.95,1537.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.35,0,0,0,0,0,0,0,0,0,0
  5-6,42.07,519.08,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.86,3.65,0,0,38.36,0,0,4.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.51,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.81,2.64,1.03,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,3.43,19.21,0,0,0,0,0,1.97,0,1.16,1.06,0,1.88,2.95,0,0,0,0
 24-34,0,0,0.97,0,2.21,0,9.49,3.47,0,0,5.76,0,0,1.23,0,0,1.82,0,1.09,40.19,0,0,27.75,110.58,0,1.08,2,0,0,0,0,0,0,0,7.71,18.67,0,1.55,0,0
 36-46,0,0,0,0,3.4,0,6.36,6.77,0,0,15.55,0,0,0.59,0,0,0,0,0,68.44,2.55,0,47.14,195.22,0.57,3.26,5.42,0,0,1.35,0,0,1.96,0,0,39.72,0,0,0,7.84
 48-58,0,0,0,0.43,20.24,0,32.46,4.62,0,1.8,20.45,0,0,0.87,0,0,0,0,4.19,79.67,0.45,0,29.17,300.57,0,0.86,3.05,0,0,7.04,0,0,0,0,0,44.63,0,0,0,4.35
 60-70,0,0,0,0,2.06,0,47.75,3.86,0,0.75,12.32,2.35,0,0.65,1.1,0,0,0,0,109.97,0,0.81,24.27,274.73,0,0,0,0,1.65,6.41,0,0,0,0,0,39.97,4.21,2.54,0,16.66
 72-82,0,0,0.68,0,1.75,0.79,96.79,5.01,0,8.13,19.56,1.77,0,0,1.15,0,0,2.04,0,87.52,0.77,1.33,22.52,233.35,0,2.33,0.76,0,2.24,1.99,0,0,0,3.15,0,20.25,1.1,2.37,1.47,0
 84-94,0,0,0.66,0,7.29,0,63.31,5.61,0,2.44,5.88,0.8,0,1.19,0,1.49,0.65,0,0,113.85,0,2.21,22.87,155.62,0,0.8,8.65,0,0,2.05,0,0,0,0,0,15.38,2.77,0.57,2.03,8.19
 96-106,0,0,0,0,4.28,6.11,48.18,8.41,0.93,1.67,7.1,3.43,0,3.83,0,0,2.49,0.65,0,70.84,0,4.39,21.88,73.23,0,0.56,11.64,0,0,2.99,0,0,0,0,0,2.33,3.62,0,1.59,0
108-118,0,0,1.59,0.61,2.96,7.28,44.61,12.9,0,1.14,16.31,5.68,0,1.6,0,2.25,0.97,1.48,0,45.81,1.82,0.46,18.4,125.54,0,1.19,5.18,0,1.58,5.12,0,0,0,0,0,3.01,0,1.06,3.11,1.42
120,0,0,0,0,12.89,2.77,37.75,2.7,0,0,54.67,1.88,0,0,1.25,2.23,0,0,0,57.16,0,0,1.94,179.4,5.59,0,7.93,0,0,0,0,0,0,0,0,10,0,1.77,0,0
