stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,29.76,0,0,2.88,0,0,0,1.85,0,0,0,0,19.65,0,1.55,11.44,0,7.28,17.76,0,0,75.05,0.83,0,1.65,0.93,0,3576.88,1.85,7.63,0,6.27,12.71,15.38,0,0,0,0,4.43
 24-34,0,0.64,79.96,2.19,0,26.98,0,15.19,0,9.38,0.63,0.73,0,0.68,70.85,0,0.6,0.86,1.77,31.07,74.21,0,17.95,433.62,0.67,30.76,1.63,0,0,8099.93,0,0,0.98,8.15,2.08,47.99,0,0,32.81,0,0
 36-46,0.95,0,48.94,0,0,16.94,1.87,34.38,0.82,3.7,3.7,0,0,0,49.12,0,3.34,0,0,19.29,91.42,0,0,222.61,1.63,31.53,0.63,0,0,8175.53,0,0,1.7,1.23,0,39.52,0,0,0.64,0,1.05
 48-58,0.42,0,104.3,0,0,38.14,0,51.13,2.11,8.99,1.91,0.37,0,0,30.63,4.61,0.5,0,1.66,11.08,45.19,0.58,3.25,158.69,1.72,23.73,0.97,0,0.39,4734.09,0,0,0,0,0,22.9,0,0,3.16,0,6.6
 60-70,0,0,127.88,0,0,40.79,0,45.04,0.89,5.24,0,0,0,0.57,29.31,1.91,0.59,0,0,17.46,22.07,0,7.46,139.29,0,7.33,0,0,0,2955.69,0,0,0,0,0,8.75,4.65,0,0.58,0,3.97
 72-82,0,0,262.19,2.43,0,29.5,0,45.55,2.06,9.67,9.47,0.74,0.79,0,59.8,0,0,4.67,0,11.12,15.08,0,4.93,80.13,0,20.62,3.18,0,0,1808.04,0,0,0,0,0,0,9.73,0.52,5.89,0,0
 84-94,1.29,0,483.92,7.86,0,18.24,0,86.75,0,1.46,17.78,0,0,1.2,85.37,0,0,6.31,3.29,10.24,19.91,1.87,3.91,48.66,0.63,46.36,0,0,0,3853.36,0,0,0,0,0,8.47,37.49,0,3.43,4.15,6.99
 96-106,0,0,680.51,0.99,0.8,26.41,0,69.01,0.74,9.8,80.44,0,0,1.67,101.82,0,3.86,3.85,0,8.53,18.55,0.59,5.4,120.73,0,75.63,1.27,0,0,2477.6,0,0,0,0,0,3.65,37.59,0,3.68,0,0
108-118,0,0,801.29,2.94,3.61,36.33,0.5,96.91,0.9,11.78,113.31,0,0,0,84.48,0,0,2.5,0,22.96,37.93,0.69,1.19,77.2,0,56.94,0,0,0,2682.64,0,0,0,0,0,7.74,44.57,0.53,4.28,0,0
120,0,0,559.16,0,1.61,0,0,73.21,0,17.74,39.89,0,0,0,47.8,0,0,0,0,28.38,26.69,0,0,49.93,0,31.37,0,19.84,0,1512.41,0,0,0,0,0,0,9.2,0,0,0,0
