stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,14.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,11.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.68,0,0,0,7.58,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,111.08,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,0.82,0,3.83,10.96,0,0,0,0,0,0,0,0,0.86,0.88,0,0,8.91,0,0
 24-34,0,0,50.96,0,0,0,0,0,0,0,0,17.43,0,0,0,0,0,0,74.02,0,1.79,47.29,23.88,5.05,0,0,0,7.41,0,0,0,0,8.61,0,0,426.42,0,0
 36-46,0,0,3.46,0,0,0.85,0,0,0.96,11.45,0,41.83,0.56,0,0,0,0.59,0,188.17,0,14.08,30.26,38.1,0,0,0,0,12.12,2.09,0,0,0,2.46,0,0,474.9,0,0
 48-58,1.15,0,2.47,0.39,0,25.58,0,0,1.65,1.67,0,32.54,0,0,0,0,0,0,400.1,0,29.14,33.85,59.14,7.18,0,0,0,19.18,0.51,0,0,0,7.57,0,9.96,398.2,0,5.92
 60-70,0,0,5.12,0,0,101.14,0,0,5.96,3.49,0,30.04,0,0,0,0,0,0,1278.07,0,38.57,50.51,67.59,1.33,0,0,0,46.88,6.14,0,0,0,2.59,0,40.06,240.45,2.19,0
 72-82,0,0,7.15,2.25,0,150.12,2.66,0,10.02,15.63,1.51,43.63,2.65,0.83,0.59,0,0,0,2329.59,0,123.96,101.73,128.14,0.58,0,0,0,59.47,2.61,4.38,2.57,0,0,0,64.27,287.21,29.57,0
 84-94,0,0,20.52,3.84,0,286.58,2,0.63,11.47,13.73,5.29,70.53,0,1.2,0.96,0,21.81,0,1831.92,0,94.49,59.25,65.49,2.26,0.7,0,0,73.72,2.11,0,0.93,0,3,0,75,283.77,60.7,0
 96-106,0,0,5.99,10.48,1.14,172.77,0.93,2.89,9.71,4.27,0,36.81,0,0,0,0,4.24,0.63,1791.67,2.81,85.35,49.5,103.16,2.51,1.81,1.5,0,114.57,7.36,0,1.81,0,0,0,43.88,283.76,71.86,0
108-118,0,0,11.85,1.18,0,210.04,0,5.18,1.11,4.67,9.24,38.93,6.48,1.44,0.42,0.64,0,0,1883.33,0,113.32,77.92,113.61,6.48,0,1.09,0,102.86,13.01,0,0,0,0,0,35.93,329.61,48.58,0
120,0,0,20.27,2.35,0,50.49,0,7.39,0,19.42,10.73,53.54,0,0,0,0,0,0,1620.66,0,149.65,68.6,88.32,4.48,0,0,0,91.46,0,0,0,0,0,1.81,45.53,246.49,79.66,3.58
