stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,58.13,407.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2,0,0,0,0,0,0,0,0,0
  5-6,52.26,110.67,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,37.78,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.26,0,0,9.3,0,0,10.8,0,0,0,0,0,14.81,0,0,0,0,0,0,0,0,0,0,49.25,0,0,0,14.72,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.72,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.46,22.2,0,0,49.44,0,0,0,4.87,0,0,0,0,0,0
 14-21,0,0,0,4.66,26.14,0,0,0,0,0,5.28,2.92,0,0,25.05,0,0,0,0,0,0.93,0,0,52,0,1.54,26.88,0,0,0,1.15,4.8,46.91,0,0,0,0,0
 24-34,0,0,1.26,5.44,25.67,0,2.18,0,0.94,0,3.24,5.91,0,0,71.37,0,9.23,8.89,0,0.84,5.7,0,0,155.38,0,3.45,52.55,0,0,0,0,9.48,90.98,0,0,1.81,0,0
 36-46,0,0,0,0,2.69,0,3.9,0,0,0,1.14,0,0,0,24.37,0,7.45,0,0,1.12,2.15,0.86,2.01,342.02,0,2.09,60.68,0,0,0,0,3.8,83.08,0,0,3.79,0,0
 48-58,0,0,0,0,8.57,0,55.27,0.97,5.49,0.56,15.89,0,0,0,8.66,0.76,6.76,0,0,4.9,0,0,0.66,486.38,0,0,41.51,0,0,0,0,0.42,89.22,0,0,0,0,0.5
 60-70,0,0,0,0,3.88,0,116.49,0,0,1.25,22.75,0,0,0,4.18,0.98,9.17,0,0,3.71,1.81,0,0,742.99,0,1.08,35.27,0,0,0,0,2.84,137.56,0,0,0,0,0
 72-82,0,0,1.62,0,12.59,0,288.19,0,0,0,63.89,0.51,0,0,13.57,10.36,13.14,0,1.69,13.35,0,1.43,0,613.57,0,1.37,42.71,0,0,0,0,7.14,51.65,6.46,4.35,0,0,0
 84-94,0,0,0,0,2.71,0,187.7,0,0.87,0,36.96,3.85,0,0.79,15.27,4.14,15.08,5.17,0,8.02,0,0,0,412.14,0,2.17,50.61,0,0,0,0,21.84,58.06,5.17,0,0,0,0
 96-106,0,0,7.68,0,12.13,0,223.31,0,0,2.91,43.94,10.5,0,0,18.19,1.17,32.94,3.88,0,34.78,0,0,0,398.84,0,4.55,31.75,0,3.25,3.39,0,9.29,21.81,3.48,11.32,0,1.56,0
108-118,0,0,0,0.92,14.27,3.33,232.33,0,0,0,29.38,10.41,0,0.78,13.5,5.31,20.35,4.33,0,28.03,4.82,0,0,421.81,0,1.31,38.87,0,0.77,0,0,17.79,9.43,8.9,0,0,0.49,0
120,0,0,0,0,22.09,0,274.97,0,6.58,0,77.62,19.77,0,0,15.75,7.89,20.56,15.76,0,28.8,0,0,0,978.81,0,2,47.39,0,2.75,0,0,21.07,44.14,20.74,0,12.64,0,0
