stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  3-4,16.65,753.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0
  5-6,48.48,1218.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.65,0,0,0,27.85,43.27,0,0,0,0,0,0
  7-9,13.88,0,11.37,0,41.08,0,0,0,0,0,0,0,0,0,0,0,305.33,24.46,0,0,56.61,5.76,0,0,0,0,0,0
 10-12,0,5.74,0,0,15.05,0,0,0,3.31,0,0,0,0,0,0,0,391.21,0,0,0,84.44,0,4.43,18.41,0,0,0,0
 14-21,0,0,0,7.27,0.97,0,0,0,0,0,0,0,1.96,0,0,0,8.28,0,0,0.88,0.92,0,5.23,0,1.81,5.18,0,0
 24-34,0,0,0,0,8.24,0,3.76,0,0,1.01,0.7,0.59,7.67,0,0,11.68,119.03,0,2.87,0.64,0,1.57,0.97,0,0.59,8.7,0,0
 36-46,0,0,0,3.2,11.69,0.63,2.48,2.36,0,0,0,0,3.79,0,0,0.75,37.61,0,0,4.59,0,0,0,0,0,7.85,0,0
 48-58,0,0,0,0.83,26.78,0,7.02,0,0,0,0,0,12.65,0,0.69,4.73,40.32,0.51,0,0,0,0,0,0,0,8.2,0,0
 60-70,0,0,0,0,9.28,0,1.59,0,0,0,1.03,0,3.44,0,0.98,0,9.17,0,0,0,0,0,0,0,0,0,0,4.91
 72-82,0,0,0,0,4.94,0,3.06,0,0,0,0,0,2.98,0,0,0,4.86,0,1.65,0,0,0,0,0,0,2.81,0,0
 84-94,0,0,0,0,10.62,0,2.23,1.16,0,0,0,0,3.71,0,0,1.16,0,0,0,0.7,0,0,0,0,0,0,1.11,0
 96-106,0,0,0,0,6.81,0,9.92,0,0,2.53,0,0,17.14,0.71,0,0,4.85,0,0,0,0,0,0,0,0,1.35,0,0
108-118,0,0,0,0.95,0.88,0,1.05,0,0,0,0,0,8.27,0,2.79,0.69,3.53,0,0,0.68,0,0,0,0,0,0,0,0
120,0,0,0,0,12.45,0,10.2,0,0,0,0,0,8.23,0,0,1.74,0,0,0,0,0,0,0,1.86,0,0,0,0
