stage,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28,4.62,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.64
 24-34,0,0,0,0.93,0,0.62,0,0.7,0,0,0,0,0,1.47,0,6.84,0,7.07
 36-46,0,0,0,0,0,0,0,0,1.49,0,1.26,0,0.9,0.66,0,12.95,1.26,5.13
 48-58,0,0,1.74,0,0,0.58,0.42,0,0,0,1.54,0,0,0,0,11,0,8.09
 60-70,4.18,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,17.04,0,2.96
 72-82,1.09,0,7.14,0,0.93,1.72,2.97,0,0,0,0,1.11,0,3.01,0,6.19,0,21.68
 84-94,0,0,0,0,0,0,1.76,0,0,0,1.09,0,0,0,0,3.47,0,3.18
 96-106,1.58,0.8,0,0,0,0.8,0.56,0,0,7.73,4.45,0,0,0,0,2.87,0,5.93
108-118,0,0,8.04,0,0,1.12,1.59,0,0,0,6.3,0,0,2.73,0,9.23,0,4.05
120,0,0,6.3,0,0,0,4.83,0,0,0,0,0,0,1.96,0,2.32,0,0
