stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,8.91,0,2.15,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0.83,0,0,0.81,68.96,0,4.5,0,0,2.98,0,1.37,1.8,45.56,0,0,0,0,0
 24-34,7.48,0,9.79,0,8.41,0,1.45,0,1.56,1.69,0,0,0,0.62,0,0,0,0,3.49,0,0,0,646.46,0.7,157.48,0,0.73,0,1.46,0,1.32,189.72,0,0,0.81,0,0
 36-46,10.63,0,40.46,0,35.59,0,0,0,3.7,0,0,0,0,0,1.36,0,0,0,2.84,0,0.96,0,2117.16,0.68,331.93,1.46,3.42,0,0,1.49,0,351.18,0,0,0,0,0
 48-58,3.47,0,5.08,0.5,161.78,0,0,0,30.83,0,0,1.8,0,0,0,0,0,10.55,10.79,0,0,1.07,3014.13,6.31,401.85,1.82,0.59,0,0,0,0,446.17,0,0,0.45,0,4.59
 60-70,12.2,0.68,19.1,0,560.43,0,0,0.76,14.89,1.47,0,0,0.69,0,13.95,0.95,2.6,0,13.22,0,0,8.06,3792.67,0,426.3,1.17,1.04,0,0,0,0,471.84,0,0,0,0,0
 72-82,11.14,0.51,15.22,7.38,674.84,4.36,0,1,58.95,10.44,0,0.81,0,0.51,0,0,0,0,34.3,1.05,0,9.22,3924.91,0,887.1,6.98,7.24,0,0.97,0,0,319.72,0.81,0,0.97,0,32.89
 84-94,16.87,2.04,19.5,7.55,598.83,0,1.91,1.51,63.7,7.69,0,0,1.16,0,3.25,0,0,1.76,47.39,4.14,3.37,0.67,2645.71,0,896.74,0.68,26.42,0,1.07,0,0,249.01,2.87,0,0,2.76,0
 96-106,17.23,0,7.92,7.92,522.15,2.29,1.8,1.54,64.88,11.25,0,0,4.27,0,0.81,1.84,6.83,0,19.56,0,1.36,2.41,2723.74,0,1591.64,1.95,15.77,0,0,0,0,140.28,10.16,0,0.92,1.16,3.35
108-118,18.14,2.97,38.59,1.53,584.56,0,0.93,3.39,69.02,8.86,0,0,0.64,0,0.88,0.53,5.49,0,32.35,5.97,0,0,3513.39,0,1103.61,0,4.95,0,1.69,0.69,0,121.14,5.22,0,3.69,0.49,0
120,8.57,5.11,23.77,2.21,482.75,2.29,0,0,120.45,1.1,0,0,7.98,3.69,12.67,8.07,0,0,103.87,0,0,1.86,6027.66,1.93,1177.99,0,3.74,0,9.57,0,0,125,0,1.52,0,5.63,0
