stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,16.51,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.31,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,14.78,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.1,0
 24-34,0,0,0,0,0,0,0,0,2.83,0,0,0,0.76
 36-46,0,0,0.72,0,0,0,0,0,2.37,0,0,0,1.38
 48-58,0,0,1.27,0,0.69,0,0,0,2.09,0,0,0,1.01
 60-70,0,1.06,12.75,0,1.89,0,0,0,1.04,0,0,0,2.23
 72-82,0,0,24.53,1.09,1.94,0,0,1.12,0,0,0,0,0
 84-94,0,0,30.24,0,0,0,2.06,0,2.15,0,0,0,1.18
 96-106,0,0,41.72,0,0,0.7,2.18,0,1.7,0,0,0,5.05
108-118,0,0,41.84,1.52,0.9,0,2.37,0,0.72,0,1.19,0,0
120,0,0,90.77,0,0,0,0,0,11.1,0,0,0,0
