stage,epidermis,eye,fin_epithelia,ionocyte,mesenchyme,muscle,neural
 14-21,0.96,0,0,0,0,0,0
 48-58,0,0,2.52,0,0,0,0.95
 60-70,0,0,0,0,1.77,0,1.8
 72-82,0,0,0,0,0.65,0,2.68
 84-94,0,0,0,0,0,0,2.77
 96-106,0,5.54,0,0,0,0,2.22
108-118,0,0,0,0,0,0.76,4.14
120,0,0,0,2.26,0,0,6.59
