stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,188.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.28,0,0,3.37,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,5.15,0,0,0,0,0,0
 14-21,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.81,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,10.84,0,0,0,0,0,1.02,0,0,1.04
 36-46,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,2.4,8.66,0,0,0,0,0,0,0,0,0
 48-58,0,1.5,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,1.48,0,0,0
 60-70,0,8.62,0,0,0.74,0,0,0,0,0,0,0,0,0,22.71,0,0,0,1.85,0,0,0,0,0,0,0,0,0
 72-82,0,5.41,0,1.86,0.98,2.07,1,0,0,1.06,0,0,0,0,345.53,0.75,0,0.59,14.16,0,0,0,1.5,0,0,1.63,0,0
 84-94,0,18.37,0,6.09,0.59,0,1.14,0,0,0,0,2.35,0,0,301.71,0,0,0,6.45,0,0.78,0,0,0,0,1.18,0,0
 96-106,0,50.49,0,5.74,3.59,0,2.76,0.59,0,0,0,0,0.58,5.84,248.53,0,1.41,0,12.07,0,2.7,0,0,0,2.71,0,0.76,0
108-118,0,58.07,0,5.84,7.39,0,0.78,1.11,0,0,1.09,7.78,0,0,255.37,0,0,0,16.66,0.71,1.56,0,0.45,0.73,0,0,0.77,0
120,0,41.18,0,0,3,0,0,0,0,1.03,0,8.71,0,0,227.9,0,0,0,5.83,0,0,0,0,0,0,0,0,0
