stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,25.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,12.28,17.44,0,0,81.18,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.98,278.25,0,0,87.65,0,14.97,0,0,0,0,0
 14-21,0,0,0,4.33,0,2.24,0,0,0,0,0,0,0,0,8.22,0,0,3.39,5.21,440.36,0,0,0,0,5.65,1.03,0,0,0,0
 24-34,0,0,0,1.56,0,14.63,0,0,0,2.35,0,0,0,0,9.56,0,0,4.14,97.17,42.22,0,0,0,0,0.65,2.45,0,0,0,0
 36-46,0,0,0.87,0,0,22.88,0,0,0,31.28,0,0,0,0,37.79,0,0,20.62,277.59,4.2,1.51,0,0,0,0,17.86,0,1.23,0,0
 48-58,0,0,0,0,0,44.82,0,0,0,53.09,0,0,0,0,124.78,0,0,48.76,279.99,0,0,0.44,0,0,0,31.07,0,0,1.24,0
 60-70,0,0,0,0,0,79.18,0,0,0,70.89,0,0,0,1.41,180.39,0,0,51.95,273.63,0,0,0,0,0,0,13.82,0,9.17,0,0
 72-82,0,0,4.17,0,0,116.39,0,0,4.65,102.63,0,0,0.57,6.09,325.16,0,0,95.97,166.54,0,0,0,0,0,0,39.12,0,7.4,4.64,5.78
 84-94,0,0,1.9,0,0,108.05,0,0,3.43,131.4,0,0,2.36,0,279.67,0,6.96,89.46,200.3,0,0,0,0,0,0,3.07,0,5.83,0,2.62
 96-106,0,0,3.28,1.92,0,64.21,0.93,0.73,0,122.77,4.56,2.07,0,1.54,313.86,0,15.75,62.95,199.34,0,1.63,0,0,0,0,4.09,0,2.14,4.53,2.47
108-118,0,0,2.64,0,10.59,111.48,0,0,8.01,91.66,0.61,0,0,0,581.88,1.15,11.94,45.97,233.52,0,0.95,0.95,0,0,0,1.15,0.68,8.46,0,0
120,1.19,0,20,0,0,77.03,7.84,0,0,155.59,17.02,0,0,0,750.72,0,11.82,47.35,261.16,0,4.68,0,19.84,5.27,0,24.51,0,9.46,0,0
