stage,endoderm,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord,taste
 14-21,0,0,0,0,0,0,0,0,0,0,1.14,3.17,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.86,0.81,9.89,0,0,1.09,0,7.43,2.99,0
 36-46,0,1,0,0.82,0,1.33,0,0,0,0.65,0.6,2.95,0,0,0,0,2.06,1.65,0
 48-58,0,0,1.72,0.49,0,0.64,2.63,0,0.54,0.6,0,6.94,1.23,0,0,0,1.1,1.15,0
 60-70,0,0,0,19.67,0,1.59,0,0,0,4.66,0,7.12,0,0,0,0,3.47,7.6,0
 72-82,0,0,4.86,1.39,0,0,0,0,0,0,0,13.33,0,0,0,0,0,3.96,0
 84-94,0,0,0,8.28,0.56,1.42,0,0.81,0,0,0,0.61,0,2.57,0.6,1.53,2.37,4.06,0
 96-106,0,0,0,1.15,0.77,0.71,0.65,0,0,1.3,0,1.41,0,0,0,0,1.09,0,0
108-118,0.74,2.12,0,7.38,0,0,0,0,0,0,0,6.91,0,2.7,0.43,0,0.88,0,0.89
120,0,0,0,13.04,0,0,0,0,0,0,0,1.33,0,0,0,0,2.56,0,0
