stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.05,617.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42,0,0,0,0,0,0,0,0,0,0
  5-6,9.16,478.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,13.31,0,0,0,0,0,0,0,0,0,0
  7-9,6.56,13.89,0,6.2,0,0,30.79,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0,0,0,88.37,8.38,0,0,15.58,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.61,0,15.56,0,4.44,54.02,0,0,0,0,0,6.66,0,0,0,0,0,0,0,0,0,0,0,257.57,12.21,0,0,110.88,0,0,0,0,0,5.96,0,0,0,0,0,0
 14-21,0,0,1.07,1.72,20.38,10.68,5.51,0,0,0,1.25,4.4,0,6.51,0,0.89,0,0,1.16,0,10.23,0,0,12.33,135.87,8.73,5.04,1.07,2.93,0,8.9,11.45,2.3,200.7,83.9,45.98,0,0,3.98,0,0
 24-34,0.88,0,0.67,0,6.48,0.76,22.7,2.88,3.51,0.7,4.78,0,1.33,16.91,1.02,0,0,0.91,0.65,6.2,26.77,0.69,3.04,41.19,420.74,3.54,7.98,1.69,0,0,40.86,0,0.64,43.01,34.91,103.79,0,0,22.03,0,0.81
 36-46,0,0,0,0,16.78,1.12,80.19,8.73,3.14,0.77,25.33,0,1.53,13.65,3.23,0,8.43,5.46,0,6.46,50.35,8.32,0,31.43,703.37,2.36,5.72,4.08,0,0,37.57,0,0,25.25,0.74,165.09,0,0.85,7.11,0,8.62
 48-58,0,0,0,0,6.99,0.51,202.06,15.41,1.27,6.25,45.48,0,3.63,4.03,5.93,14.35,2.72,5.73,0.48,9.76,72.59,1.65,1.36,13.04,857.64,13.05,16.66,2.2,0,0.47,15.82,0,0,8.57,0,174.77,0,0.37,9.49,0,13.77
 60-70,0,0,0.82,0,12.45,2.07,477.66,20.94,8.29,5.96,84.68,0.62,2,9.3,7.79,1.89,2.52,3.65,0,6.76,94.9,0.65,0,15.81,975.76,0,9.19,7.97,0,2.07,31.79,0,4.49,6.34,0,139.62,0,2.48,20.43,0,9.16
 72-82,0,0,0.87,0,9.21,7.65,643.17,9.26,8.01,2.18,54.48,0,1.02,2.93,4.22,1.36,2.56,13.77,0,0.64,105.7,4.24,5.44,10.38,686.6,0,13.71,12.99,0,2.83,21.51,0,0.57,3.76,0,83.91,1.31,0,12.88,1.78,24.67
 84-94,0,0,3.25,0,25.66,4.46,420.16,8.37,0.8,8.76,60.15,3.18,4.43,5.59,1.76,4.96,1.42,7.49,1.27,8.8,87.07,2.64,2.34,15.21,461.39,4.96,14.07,19.75,0,2.02,66.25,0,1.47,8.98,0,37.28,1.99,0.75,13.94,0.64,0
 96-106,0,0,2.06,0,23.7,8.97,392.25,16.63,5.37,4.1,53.64,10.73,0,4.79,5.96,4.86,7.3,13.22,14.22,1.06,112.28,15.26,0.84,16.13,345.94,1.52,32.54,9.84,0,8.58,67.83,0,2.27,17.09,0,45.05,0.87,0,24.68,9.68,20.04
108-118,0,0,3.31,0.49,29.93,8.45,353.65,14.36,5.72,4.51,57.55,6.41,0,2.56,6.63,6.86,14.17,7.15,10.78,1.09,93.03,2.15,9.25,7.7,396.71,5.71,9.48,9.71,0,4.15,23.94,0,1.08,6.58,0,27.37,2.55,2.08,15.79,2.45,2.13
120,0,0,0,0,6.68,1.51,419.18,18.97,9.13,5.21,46.05,6.11,0,1.15,12.06,0,4.12,14.5,0,1.54,60.4,9.52,0,4.8,768.74,2.06,22.08,7.94,0,0,39.01,0,5.57,6.93,0,18.55,5.48,0,3.86,9.26,0
