stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pgc,spinal_cord,taste
  5-6,0,46.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.73,0,0,4.88,0,0,5.81,0,0,3.45,0,0,0,0,0,29.13,0,9.43,6.96,0,0
 10-12,0,0,0,15.98,0,0,0,0,0,0,0,0,0,0,0,8.56,0,5.84,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,7.57,0,0,0,2.15,0
 24-34,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,6.71,19.41,141.18,0,0,3.87,0
 36-46,0,0,0,0,0.94,0,2.56,0,0.92,0,0,0,0.88,0,0,25.23,64.17,0,0,1.46,0
 48-58,0,0,0,0,0,0,15.9,0,11.88,0,0,0,0.44,0,0,34.59,1.83,0,0,4.12,0
 60-70,0,0,0,0,0,0,6.28,0,22.97,0,0,0,0.93,0,0,5.88,2.16,0,0,1.75,0
 72-82,0,0,0.93,0,1.78,0,8.74,0,11.61,0,0,0,0,0,0,23.74,61.88,0,0,0,0
 84-94,0,0,0,0,0.62,0,12.74,0,7.9,0,0,0,0.65,0,0,2.31,34.05,0,0,0,0
 96-106,0,0,0,0,0,0,18.58,0,21.59,0,1.07,0,0,0,0,31.03,31.63,0,0,0,1.36
108-118,0,0,0,0,0.65,0,30.16,0.7,8.09,0,0,0,0,4.93,0,10.23,17.66,0,0,0,0.5
120,0,0,0,0,0,0,12.43,0,26.06,0,0,11.03,0,0,0,10.34,39.3,0,0,2.31,0
