stage,axial,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,7.16,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.99,0,0,0,4.72,0,0,0,0,0,0,0
 14-21,0,226.4,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,4.19,0,0,0,0,3.21,0.91,0,0,0,0,0
 24-34,0,267.32,0,2.66,13.19,0,0,0,0,2.88,0,0,0,0,0.79,1.11,0,1.03,33.18,0,0,0,0,53.19,0,0.62,0,0,0.73,0
 36-46,0,109.57,0,2.37,20.31,0,0,0,1.34,0,0,0,0,0,2.97,1.35,0,1.76,35.98,0,0,0,0,135.6,0,0,3.49,0,0,0
 48-58,0,82.91,0,5.26,38.84,0,1.19,0,0.6,0,0.4,0,0,0,6.32,0.82,0,0.73,23.85,0.5,0,0,0,107.05,0,0,3.97,0,0,0
 60-70,0.81,100.48,0,0.85,26.68,0,1.15,0,0,0,0,0,0,0,1.14,2.27,0,0,21.2,0,0.71,0.94,0,102.01,0,0,2.12,0,0,3.97
 72-82,0,92.95,0,8.63,28.81,7.14,2.92,0.65,6.32,0,0,0,0,0,10.16,0.56,2.92,0,7.48,0,1.11,0,0,98.94,0,0,1.92,3.65,3.3,0
 84-94,0,221.16,0,7.67,73.81,0,2.3,0,0,0.65,2.43,0,0,0.68,9.44,3.5,0,0,9.56,0,0,0.9,0,330.36,0,0,0,0,1.2,0
 96-106,0,259.84,0,8.2,71.7,6.2,1.59,4.37,0,2.56,3.39,0,0,0,7.98,13.01,1.53,1.66,31.16,0,4.15,1.21,0,349.73,0,0,0,3.94,0.68,0
108-118,0,216.39,2.59,2.52,101.72,0.73,3.3,3.66,0,0,2.28,1.69,0.66,0,12.35,1.95,3.17,0,42.13,4.26,0,0,0,303.28,0,0,3.83,2.13,1.26,0
120,0,135.03,0,7.79,56.09,0,0,0,0,1.22,0,0,1.69,0,6.9,11.26,0,1.65,15.33,0,4.94,3.34,0,161.7,0,0,0,0,0,0
