stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.9,116.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.94,34.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,23.82,0,0,0,5.11,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.82,8.55,0,0,37.92,0,0,0,9.87,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.79,9.2,0,0.82,0,0,0,7.04,0,0,0.85,0,0,0,0,0,0,3.99,0,4.1,97.32,0.81,1.44,0,0.92,0,0,3.67,0,0.86,1.82,71.63,0,0,8.35,0,0
 24-34,0,0,0.84,0,0,2.46,0,11.97,0,0,0,1.77,0,0,18.2,0.68,0,0,0.91,0,0,8.94,0,1.71,939.49,0,15.07,2.72,0,0,1.57,0,0,0,0,252.36,0,0,28.75,0,0
 36-46,0,0,0,0,3.64,0,0,47,1.88,0,0,25.38,0,0,0.73,0,0,0,0,0,0,1.08,0,0,2032.25,3.59,30.68,4.65,0,0,0,0,0,0.7,0,397.36,0,0,56.27,0,0
 48-58,0,0,0.44,0,24.78,4.47,0,190.73,3.27,4.32,1.4,52.17,0,0,5.65,0,3.72,0,0,0,3.78,18.9,0,6.08,2596.97,0.75,24.93,0.69,0,0,5.83,0,0,1.87,0,469.93,0,0,84.81,0,7.02
 60-70,0,0,0.91,0,6.24,0,0,434.63,3.82,0,0.72,72.32,0,0,4.44,0,0,0.88,0,0,0,38.95,1.42,2.86,3296.5,5.04,6.17,4.51,0,0,10.65,0,0,0,0,485.04,0,0,86.56,0,2.28
 72-82,0,0,0,0,18.92,7.4,0,461.33,0,0,4.53,63.69,0,0,10.39,0.53,0,3.94,0.95,0,0,39.05,6.79,2.74,2740.32,0,20.89,4.75,0,0,12.31,0,0,0,0,280.78,1.16,0,167.1,1.08,13.85
 84-94,0,0,0,0,8.34,0,0,338.24,0.7,1.69,2.39,27.13,0,0,3.62,2.96,0,6.43,2.76,0,0,8.64,0.6,1.48,1980.86,0,11.39,10.88,0,0,2.31,0,0,0,0,227.59,0,0,134.13,1.13,5.98
 96-106,0,0,0,0,12.59,0,11.82,355.3,0,0,0.93,33.57,2.01,0,0,1.04,0.91,2.08,2.57,9.82,0,22.73,1.02,0,1641.91,0,9.09,0.74,0,0,10.09,0,0,0,0,73.68,0,0.76,208.04,0,10.14
108-118,0,0,2.49,0,12.14,13.06,0,316.5,2.43,0,4.26,38.61,1.06,0,12.29,0.94,0,8.65,0,3.98,0,44,0,0,1878.7,0,24,4.78,0,1.96,3.33,0,0,0,0,66.09,1.77,0,143.85,0,0
120,0,0,0,3.17,43.81,1.9,0,531.55,0,0,0,58.29,5.04,0,3.24,5.9,2.43,0,14.83,0,0,67.56,2.08,5.59,4070.21,3.99,20.64,0,0,0,8.77,0,5.17,0,0,126.42,0,0,165,0,0
