stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,141.89,1221.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.68,0,0,0,0,0,0,0,0
  5-6,48.1,691.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.03,0,0,0,0,0,8.18,0,0,0,0,0,0,0,0
  7-9,3.48,0,0,3.3,0,0,0,17.9,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,82.45,7.54,0,0,73.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.45,0,0,0,29.49,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.99,49.86,0,0.82,0,0,0,2.21,0,0,0,578.35,0,0,0,0,0,0,0,0,0.82,5.58,0.82,0,0,0,0,0,0,0,0.92,0,0,1.01,0,4.41
 24-34,0,0,0,0.67,7.03,47.82,0,4.88,0,1.04,0,0,0,0,1.77,2063.25,0,7.15,0,0.71,2.18,5.93,0,0,7.05,76.59,0,0,2.09,0,0,0.74,0.97,0,10.85,0,0,131.29,0,242.11
 36-46,0,0,0,0,2.48,11.97,0,6.91,0,0,0,19.48,0,0,0,2614.68,0,45.31,0,0,16.24,14.22,0,0,8.3,84.38,0,0.81,0,0,0,7.5,1.66,2.29,4.74,0,0,77.49,0,444.18
 48-58,0,0,0,0,2.17,36.34,0,21.89,0,0,0,7.7,0,0,1.74,2220.17,0,40.48,0,0,1.72,6.98,0,0,0.88,116.55,0,0.99,1.1,0,0,0.39,0,0,13.84,0,0,130.22,0,431.31
 60-70,0,0,0.57,0,2.91,20.14,0,36.95,0,2.9,0.72,4.02,0,0,0,1859.97,0,97.63,0,0,2.31,5.42,0,5.24,0,63.21,0,0,0,0,0,2.08,0,0,6.62,0,0,126.49,0,334.07
 72-82,0,0,0.93,0,0.88,57.97,0,23.84,8.43,1.61,0.59,4.85,0,0,2.66,2973.76,0,63.95,3.4,1.4,0,34.57,0,2.11,2.11,83.98,0,0,1.64,0,0,2.83,4.01,0,3.5,0,2.74,195.08,1.26,186.79
 84-94,0,0,0,0,4.89,10.59,0,19.31,1.17,0,0,4.08,3.69,0,0,3338.38,0,159.35,0,0,0,33.32,1.58,2.36,0,49.43,0,0,5.33,0,0,5.08,0,0,6.9,1.53,0,173.46,2.7,203.14
 96-106,0,0,0,0,16.27,95.59,0.66,88.87,0.71,3.95,0,14.36,8.38,0,0,4378.36,5.68,100.24,8.49,17.32,0,69.19,1.38,0,0.9,116.87,3.52,1.65,0.6,0,0,30.28,0,5.77,0,2.03,1.23,325.31,10.08,167.23
108-118,0,0,0,0,17.14,52.21,4.72,37.36,0,1.5,5.52,32.39,9.76,0,0,3986.82,6.36,155.32,0,2.53,0,39.62,0.43,0,2.14,81.81,0,0,1.72,0,0.89,8.16,1.45,1.02,4.55,2.47,0,230.65,4.94,158.41
120,0,0,0,0,23.33,79.73,1.14,40.62,2.35,0,0,4.9,9.84,0,0,4832.62,0,99.88,13.39,2.57,0,33.3,0,0,8.67,114.8,17.49,1.29,0,0,0,1.51,0,0,0,0,0,204.29,4.11,73.51
