stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,48.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.38,0,0,0,7.85,0,0,0,0,0,14.71,0,0,0,0,0,0,0,0,0,0,133.12,0,0,0,25.38,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,13.83,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.03,0,0,0,33.47,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13.47,1.21,0,189.81,0,0,0,3.16,0,2.04,0,0,0,0,0,0,7,0,0,0,1290.54,0,0,0.94,1.87,0,1.06,0,2.48,1.22,0,4.53,35.92,0,0,0.95,0,0
 24-34,0,0,0,9.53,0,0,320.9,0,0.62,0.69,33.38,0,0,0,0,0,0,0,0.8,11.3,0.63,0,3.85,2151.32,1.29,2.37,0.65,0,0,6.89,0,0,0,1.24,1.3,65.49,0,0,3.51,0,0.91
 36-46,0,0,0,4.87,0,0,525.55,0,0,0,96.11,0,0,0,0,0,0,6.58,0,10.62,0,0,1.27,2405.56,7.08,3.21,1.66,0,0,3.91,0,0,0,0,0,27.31,0,0,2.22,0,0
 48-58,0,0,0,5.12,0,0,806.67,0,0.41,0,119.97,0,0,0,0,3.42,0,0,1.33,22.3,0,0,1.03,1591.89,0,0.39,0,0,0,1.32,0,0,0,0,0,27.14,0,0,3.63,0,0
 60-70,0,0,0,0.77,0,0,1797.2,0,0,0,127.93,0,0,2.12,7.93,0.93,2.21,0,0,11.74,0,0,1.75,1331.59,7.53,0,0,0,0,1.04,0,0,0,0,0,17.43,0,0,0,0.81,0
 72-82,0,0,0,10.44,1.88,0,1461.92,0,0,4.18,184.07,1.04,0,1.63,0,0,1.62,0,2.67,38.7,0,0,0.56,1235.08,0,1.07,0,0,0,1,0,0,0,0,0,15.64,4.74,0,2.57,0.85,7.86
 84-94,0,0,0,9.13,1.97,0,1248.02,4.89,0,0,154.93,0,0,1.07,0.76,0,0,0,0,29.28,1.79,0.58,2.95,706.29,0,0,0,0,0,6.09,1.4,0,0,0,0,12.95,3.96,2.16,0,1.2,0
 96-106,0,0.95,0,8.27,0,0,1178.43,0,0.58,0.82,130.28,0.56,0,3.84,0,0,0,0,0,24.34,0,0,1.08,700.89,0.79,2.09,1.51,0,0,2.47,0,0,0,0,0,0,0,0,0.64,0.56,10.46
108-118,0,0,0,6.96,0.74,1.93,1015.49,0,1.03,1.75,176.15,0.82,0,0.7,0,0,0,4.15,0,31.79,0,0.5,2.31,1024.24,0.85,4.77,2.09,0,1.02,8.86,0,0,0.51,0,0,1.33,0,0,4.97,0,0
120,0,0,0,15.1,0,14.77,824.74,0,0,13.26,194.1,0,0,1.96,0,0,0,38.17,0,23.61,0,0,1.82,1304.26,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0
