stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.53,0,0,0,16.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,12.11,0,19.38,0,0,7.12,0,0,0,3.1,1.14,0,0,0,0,0,0,8.08,0,0,0,0,0,1037.87,0,33.71,3.66,1.12,0,1.52,0.91,1.98,0,3.45,15.35,256.31,0,0,0,0,0
 24-34,0,39.48,0.82,13.26,0.81,0,41.65,0,0,0.83,4.22,3.49,0,0.68,0.77,0,0,0,16.82,0.62,14.04,0,0,9.36,5183.7,0.63,384.46,1.48,0,0,7.56,0,0,2.66,2.86,2.2,1418.01,0,0,12.13,0,2.31
 36-46,0,24.2,0,12.06,0.71,0,190.19,1.29,1.29,0,17.26,0,0,1.87,6.49,0,0,0.66,14.76,0,16.52,0,0,5.26,12265.79,0,414.07,0.61,0,0,19.38,0,0,0.81,4.22,0,2481.69,0,0,8.42,0,4.65
 48-58,0,20.69,0,58.74,2.78,0,1650.13,0,9.8,11.66,141.01,0,0,2.77,7.15,0.49,8.94,5.96,24.32,13.51,97.07,0.63,4.54,13.66,19010.76,11.43,301.67,3.16,0,0,28.49,0,0.92,0,10.74,0,2681.73,0,0,11.74,0,39.36
 60-70,0,10.81,0,89.11,3.04,0,9421.71,1.5,22.72,14.65,213.21,13.79,3.73,0,17.42,0,0,6.66,56.99,3.93,116.62,0,12.58,11.73,31348.67,5.04,303.79,3.64,0,0,23.93,0,0,4.67,1.01,0,3991.63,0,2.52,21.62,0,59.34
 72-82,0,69.9,0,370.81,37.6,0,22365.79,2.45,21.08,42.14,520.78,22.1,0.52,3.58,29.17,4.89,29.72,8.48,174.6,56.02,395.89,1.74,14.79,36.56,33173.13,3.15,601.76,9.81,0,5.89,33.4,18.18,0,0,0,0,3830.23,7.62,18.17,27.63,20.2,212.94
 84-94,0,104,0,364.16,51.49,0,14785.43,2.08,17.06,20.61,596.4,27.15,0,3.49,7.09,2.14,19.43,9.77,473.33,5.44,284.34,5.24,22.83,16.11,21249.37,7.03,512.69,24.34,0,2.56,46.09,0,0,6.11,0,0,2771.23,17.88,14.75,29.74,21.75,0.58
 96-106,0,69.97,1.07,336.88,112.13,5.96,16847.36,7.48,18.82,7.74,571.62,18.92,0,9.4,22.41,7.97,9.12,10.05,948.09,0,299.43,8.81,15.42,28.87,18523.48,4,869.87,7.4,0,11.46,60.81,24.12,0,0.82,0,0,974.26,11.77,16.15,42.68,21.67,45.21
108-118,0,65.44,0,292.94,36.07,9.18,14294.96,0,25.4,4.72,477.1,21.14,0,1.95,23.69,1.35,6.56,9.8,1804.41,1.71,261.17,6.01,21.56,29.65,27723.93,1.53,633.03,14.56,0,13.73,37.11,0,0,35.8,0,0,1007.8,11.52,35.24,34.77,20.6,16.09
120,0,96.54,2.55,355.05,16.25,1.62,9457.38,0,12.02,35.44,553.58,7.02,0,4.88,24.98,3.53,19.1,4.91,987.48,0,335,23.46,2.21,6.03,29658.96,15.91,601.06,1.73,0,0,87.89,0,0,18.43,0,0,686.01,0,16.42,18.2,54.04,8.45
