stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.44,638.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267.27,0,0,0,0,0,0,0,0
  5-6,43.71,228.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761.91,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.66,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,66.07,0,0,0,5.72,0,42.12,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.12,0,0,0,10.77,0,15.82,0,7.06,0,0,0,0,0,0
 14-21,0,0,0,6.75,4.56,0,0,0,0,0,0,0,0,0,0,1.93,0,0,0,0,1.09,0,0,9.57,0,0,0,0,0,1070.14,0.94,0,0,6.12,0,0,0,0
 24-34,0,0,0,1.67,1.75,0,4.8,0,1.61,0,2.99,0,0,0,0,4.15,0.77,2.21,2.59,5.08,5.53,0,2.29,76.41,0.66,2.51,3.28,0,0,1371.01,0,1.58,0,9.7,0,0,0,0
 36-46,0,0,0,0,0,0,3.1,0,1.63,0,0,0,0,0,0,1.08,1.22,0,2.15,1.92,16.44,0,1.44,53.64,0,3.38,10.95,0,0,1442.52,0,2.78,0,7.84,0,0,0,0
 48-58,0,0,0,0,5.59,0,12.12,0,4.22,0,3.34,0,0,2.25,0,2.29,0,0,0,3.85,2.17,0,0,36.78,0,4.37,0,0,0,774.45,0,0.68,0,8.82,0,1.28,0,6.6
 60-70,0,0,0,0,6.91,0,11.65,0,7.53,7.22,3.38,0,0,0,0,4.1,0,1.78,0,5.2,3.06,0,1.08,42.11,0,4.18,0,0,0,771.76,0,0,0,3.52,0,0,0,0
 72-82,0,0,3.05,0,20.59,0,7.96,0,3.48,0,2.73,1.43,0,0,2.12,4.37,0,0,0,3.68,3.55,0,2.07,27.92,0,2,0,0,0,636.92,0,0.86,0,4.26,0.93,0.81,0,0
 84-94,0,0,3.83,0,34.8,0,8.16,0,10.52,0,0.78,2.61,0,0,0,17.14,0,1.52,0,3.41,16.79,0,0,24.26,0,21.5,0,0,0,1564.79,0,0,0.83,2.95,4.36,0.8,0,0
 96-106,0,0,0.74,0,82.92,0,41.9,0,24.54,1.4,2.73,7.75,0,0,1.15,14.15,0,2.07,0,12.62,14.16,0,0,42.31,0,7.55,0.73,0,5.78,1390.13,0,0,0,0,6.23,1.67,0,8.38
108-118,0,0,0.98,1.12,102.74,1.7,15.83,0.75,46.44,0,2.97,4.7,0,0.68,4.23,28.16,1.02,2.09,0,4.61,17.1,1.72,0,35.8,0,9,1.01,0,0,1679.98,0,0.43,0,3.93,9.7,0,1.4,2.18
120,0,0,0,0,126.12,2.67,15.72,0,17.94,0,0,3.59,0,0,8.81,17.23,0,3.71,0,5.97,9.46,0,0,9.76,1.03,10.57,0,0,0,750.93,0,0,0,0,0,0,0,0
