stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
 14-21,2.06,2.55,0,0.9,0,0,0,2.18,0,0,0,0,0,4.39,0.87,15.98,0.88,0,0,0,0,4,0,2.95,2.04,5.42,0,1.49
 24-34,1.35,0,0,1.55,0,0,0,0,0,3.12,0,0,0,0,0,21.17,0,1.36,1.5,0,0,0,0,2.45,1,12.86,0,0
 36-46,0,0,0,5.1,0,0,0,3.02,0,0.65,0,0,0,2.71,0.57,62.47,0,0,0,0,0,0,0,12.29,0,9.52,0,1.6
 48-58,0,0,0,6.49,0.48,5.26,0.42,4.08,0,1.53,0,0,0.4,1.1,0.81,27.95,0.61,0,0,0,2.33,0,0.74,18.64,0,4.85,0,1.28
 60-70,2.07,0,0,9.14,4.06,7.02,0.62,1.58,0,1.27,0,0,0,6.7,0.56,43.76,0.63,3.48,1.66,0.81,0,0,0,11.69,0,1.87,0,0
 72-82,1.79,0,0,11.17,13.76,0,0,2.95,0,0,0,0,0.79,3.96,0,31.24,0,3.42,2.17,0,1.28,0,0,3.64,0,3.78,0,0
 84-94,1.41,0,1.09,0,2.37,0,0,1.93,0,0,0,0.55,0.58,7.9,0,25.11,0,2.26,4.19,0,0.79,0,0,7.69,0,12.59,0,2.59
 96-106,0,0,0,13.63,5.67,0,0.85,0.82,0.69,1.34,0,0,0,1.62,1.03,12.38,0,6.17,3.18,0,0,0,0,7.06,0,2.52,0.83,0
108-118,0.61,0,0,5.36,3.6,0,0.7,3.11,1.35,5.07,1.44,2.71,0.51,0.58,2.73,12.2,1.25,0.86,6.91,0,0.69,0,0,6.84,0,0.64,0,1.16
120,0,0,0,11.63,2.17,0,0,0,0,0,0,0,4.73,5.58,0,31.5,0,2.89,8.58,0,0,0,0,0,0,7.58,0,0
